County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Autauga	AL	82	10.4	5.9	16.6	3048	1867
Baldwin	AL	102	10.2	7.1	14.3	5471	4388
Barbour	AL	32	22.1	7.1	10.3	1835	1538
Bibb	AL	35	16.8	9.8	14.8	2801	2012
Blount	AL	86	11.9	9	14.4	3318	2453
Bullock	AL	18	26.2	13.3	-1111.1	1604	1381
Butler	AL	27	20	5.8	11.9	2874	2857
Calhoun	AL	184	16.4	9.5	13.6	4429	3915
Chambers	AL	59	16.2	7.5	12.8	2271	2424
Cherokee	AL	44	15.2	7.4	17.7	2659	2609
Chilton	AL	60	14.9	10.5	13.3	2671	2065
Choctaw	AL	16	18.7	10.8	9.4	2152	1742
Clarke	AL	22	19.2	7.1	8.9	1984	1444
Clay	AL	23	14	10.2	11.2	1748	1706
Cleburne	AL	26	14	7	30.1	1706	1540
Coffee	AL	67	13.7	2.9	13.1	2762	2210
Colbert	AL	92	14	8.2	15.1	3166	3087
Conecuh	AL	16	22	14.4	13.2	1872	1832
Coosa	AL	17	13.4	13.9	-1111.1	1273	1174
Covington	AL	36	17.5	6.2	10.7	2247	2499
Crenshaw	AL	23	17.6	11.4	11.2	1745	1825
Cullman	AL	108	13.3	6.9	9.1	4897	4405
Dale	AL	87	15.8	7.9	10.8	3789	2259
Dallas	AL	45	25	9.6	8.4	3767	2752
DeKalb	AL	86	15.1	7.7	10.9	4665	3326
Elmore	AL	119	12.5	7.6	8.5	4707	2823
Escambia	AL	40	18.6	12.3	11	2519	2151
Etowah	AL	193	15.7	8.7	15.7	3810	4020
Fayette	AL	29	16.1	7.3	12	2145	2224
Franklin	AL	48	17.4	11.5	13.8	2169	1902
Geneva	AL	45	17.6	7.1	13.3	3007	3080
Greene	AL	15	24.9	10.2	15	1568	1193
Hale	AL	28	20.6	13.8	7	2568	1960
Henry	AL	30	16.3	7.6	8.9	2070	1898
Houston	AL	162	15.3	8	7.6	6497	4329
Jackson	AL	50	14.5	6.4	12.5	3279	2871
Jefferson	AL	591	14.4	11.3	11.3	27118	21937
Lamar	AL	25	16.1	15.6	13.7	1870	1985
Lauderdale	AL	131	15.6	5.4	12.6	4995	4541
Lawrence	AL	50	14.4	5.3	10.9	2080	1740
Lee	AL	202	15.1	8.3	9.9	7131	3852
Limestone	AL	124	11.8	7.3	13.4	4244	2826
Lowndes	AL	18	23.3	12.6	8.2	2108	1364
Macon	AL	37	25.8	13	11.7	3113	2801
Madison	AL	370	10.9	9.1	10.6	10693	6626
Marengo	AL	22	20.1	12.2	4.8	3318	2600
Marion	AL	41	16.8	8.8	13.4	1825	1887
Marshall	AL	151	15.2	7.9	15.7	6319	4669
Mobile	AL	326	18.5	10	10.9	17569	11805
Monroe	AL	23	17.7	7.8	12.6	3601	2481
Montgomery	AL	281	18	9.5	10.2	9959	6207
Morgan	AL	195	13.2	5.2	15.5	4421	3171
Perry	AL	16	28.6	10.2	-1111.1	2003	1595
Pickens	AL	23	19.3	8.2	9.9	2850	2556
Pike	AL	44	20.3	9.1	11.9	2078	1603
Randolph	AL	39	15.7	9	17.3	2873	2612
Russell	AL	77	18.6	12.9	12.3	3406	2837
St. Clair	AL	114	13.1	9.3	13.3	4196	3134
Shelby	AL	216	6.9	6.4	8.1	7311	2886
Sumter	AL	15	26.4	14.4	9.9	2175	1666
Talladega	AL	109	16.8	10	9.6	5411	4456
Tallapoosa	AL	57	16	7.9	15.1	2521	2715
Tuscaloosa	AL	128	16.5	12.9	11.9	6587	4532
Walker	AL	88	14.8	12.1	17.8	4542	4687
Washington	AL	16	16.9	9.8	10.2	2429	1684
Wilcox	AL	15	27.9	11.3	-1111.1	2258	1609
Winston	AL	40	16.9	7.3	13.7	2873	2786
