County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Arkansas	AR	20	17.3	6.2	14.2	2703	2770
Ashley	AR	25	17.8	10.3	13.5	3264	2809
Baxter	AR	73	13.7	7.1	24.5	1681	3173
Benton	AR	221	10	6	13.2	7711	3902
Boone	AR	61	15.3	6.8	13.8	2061	1937
Bradley	AR	19	20.3	6.6	8.9	1513	1778
Calhoun	AR	9	14.5	17.1	-1111.1	582	710
Carroll	AR	43	15.4	7.7	14.6	3253	2396
Chicot	AR	20	27.9	8.4	9.8	1978	1878
Clark	AR	26	17.2	6.5	10	2761	2577
Clay	AR	26	17.1	9	13.1	1980	2596
Cleburne	AR	46	14.4	4.9	16.7	2257	2881
Cleveland	AR	15	14.2	2.1	12.6	1044	883
Columbia	AR	32	20.3	9.9	9	1513	1579
Conway	AR	37	16.5	8.3	14.7	2515	2325
Craighead	AR	122	15.9	9.4	12.2	5956	3909
Crawford	AR	97	14.2	8.6	15	3821	2442
Crittenden	AR	85	22.5	12.3	12.8	4459	2605
Cross	AR	31	19.6	14.2	16.4	2664	2220
Dallas	AR	13	18.7	11.9	-1111.1	1105	1351
Desha	AR	19	23.2	10.2	12	2413	1806
Drew	AR	23	18.4	7.6	13.3	2485	1923
Faulkner	AR	150	12.8	7.2	9.6	6281	3109
Franklin	AR	30	16.4	6.9	13.1	2221	1981
Fulton	AR	19	18.2	7.6	13.7	1170	1439
Garland	AR	138	16	6.9	19.3	5219	6359
Grant	AR	27	10.9	9.5	17.7	1872	1504
Greene	AR	68	15.4	10.5	19.4	2664	2021
Hempstead	AR	32	19	8.2	14	3365	2644
Hot Spring	AR	51	15	5.5	13.8	1818	1640
Howard	AR	25	15.7	5.4	12	2016	1779
Independence	AR	45	14.9	7.3	17.7	2205	1926
Izard	AR	23	18.1	10.2	12.3	1314	1988
Jackson	AR	28	20.6	9.1	14.6	2200	2527
Jefferson	AR	92	20.9	10.3	9.1	6103	4498
Johnson	AR	36	17.1	6.3	17	3104	2395
Lafayette	AR	15	20.5	10.4	15.6	1095	1138
Lawrence	AR	29	19	9.5	14.9	2251	2433
Lee	AR	19	29.1	16.2	12	1582	1461
Lincoln	AR	25	23.4	10.1	6.8	1555	1283
Little River	AR	25	15.4	7.9	21.1	1688	1532
Logan	AR	32	16.4	4.2	13.9	2874	2634
Lonoke	AR	79	10.8	7.7	11.4	3649	2289
Madison	AR	18	17	13	19.1	1712	1448
Marion	AR	28	17.1	8.1	22	1359	1763
Miller	AR	69	17.8	8	15.1	2889	1873
Mississippi	AR	53	22.3	10.5	12.5	4281	2949
Monroe	AR	15	23.2	9.6	14.6	1409	1437
Montgomery	AR	12	17.3	5.9	24.4	929	1081
Nevada	AR	15	19.3	9.5	10.3	1266	1323
Newton	AR	10	19.9	4.9	16.6	903	824
Ouachita	AR	37	18.6	10.8	6.7	1755	1951
Perry	AR	19	14.8	8.1	25.6	1210	1134
Phillips	AR	35	28.4	10.4	-1111.1	2297	1664
Pike	AR	18	15.6	12.7	-1111.1	1397	1349
Poinsett	AR	33	20.5	10.4	16	3511	3124
Polk	AR	23	19.1	9.6	15.6	2746	2523
Pope	AR	70	16.5	5.8	10.7	3651	2531
Prairie	AR	14	15.4	10	12.9	1124	1190
Pulaski	AR	475	15.1	9.8	12.5	17023	9941
Randolph	AR	28	17.2	9.1	16.8	2054	2087
St. Francis	AR	44	25.2	9.7	13.5	2273	1697
Saline	AR	126	9.4	7.1	13.8	4790	3644
Scott	AR	12	18.9	7.9	22.5	1396	1254
Searcy	AR	12	21.8	10.7	16.8	827	1118
Sebastian	AR	221	15.4	8.7	14.9	5489	3365
Sevier	AR	29	17.8	7.1	19.7	2595	1673
Sharp	AR	29	19.9	8.6	15.4	1661	2498
Stone	AR	19	18.4	6.5	11.5	1186	1375
Union	AR	43	17.7	8.2	14.7	2942	2903
Van Buren	AR	23	17	9.4	22.9	1617	2184
Washington	AR	190	13.8	5.7	12.6	8410	3625
White	AR	69	15.5	8.2	15.1	4499	3533
Woodruff	AR	14	23	9.2	10.7	1092	1306
Yell	AR	23	15.6	5.5	12.3	3044	2360
