County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Alameda	CA	1964	10.7	4.8	7.6	65423	29143
Alpine	CA	2	13.1		-1111.1	127	85
Amador	CA	65	9.2	3.9	17.6	1288	1904
Butte	CA	131	15.8	6.2	14.8	6959	6710
Calaveras	CA	46	9.7	4.4	17.5	1601	1999
Colusa	CA	18	13	5.9	12.6	3237	1451
Contra Costa	CA	1414	7.5	4	9.4	39653	20836
Del Norte	CA	28	18.6	7.5	16.2	1475	1312
El Dorado	CA	103	7.5	4.8	14.3	5216	3584
Fresno	CA	147	20.6	6.4	8.7	44463	17288
Glenn	CA	21	15.2	3	20.3	2016	1195
Humboldt	CA	36	15.6	7.1	18.9	4369	3763
Imperial	CA	37	19.8	4.4	5.3	8203	2790
Inyo	CA	2	10.6	7.3	19.3	1998	2229
Kern	CA	93	18.2	6.2	11	36837	15524
Kings	CA	103	18.2	6.6	9.4	6813	2282
Lake	CA	52	14.8	6.5	15.5	3090	3848
Lassen	CA	8	14.9	7.2	15.8	1519	1031
Los Angeles	CA	2447	17.7	5.4	7.9	457033	181018
Madera	CA	67	18.9	5.9	11.7	6626	2782
Marin	CA	475	7.3	3.3	11.3	8467	5575
Mariposa	CA	12	11.3	7.2	11.7	1429	1678
Mendocino	CA	25	14.6	6.6	15.9	5337	4142
Merced	CA	125	18.2	6.5	8.4	12258	4432
Modoc	CA	2	16.5	9.6	19.3	957	1103
Mono	CA	4	8.7	3.9	16.3	1461	476
Monterey	CA	124	13.7	5.8	9.3	21271	7296
Napa	CA	176	7.9	3.5	7.4	4806	3847
Nevada	CA	103	8.3	2	16.8	3995	4640
Orange	CA	3785	10.6	4.7	7.6	135702	51060
Placer	CA	226	5.9	4.1	12.8	10318	6387
Plumas	CA	8	10.1	5.7	19.9	1778	2185
Riverside	CA	270	12.3	5.8	9.8	80134	39244
Sacramento	CA	1412	13.7	5.6	10.9	58592	28774
San Benito	CA	40	9.2	3.5	6.7	4617	1351
San Bernardino	CA	98	16	7.3	10.3	89760	35401
San Diego	CA	698	11.6	4.9	10.5	133137	59354
San Francisco	CA	15837	12	3.9	11	25255	18969
San Joaquin	CA	475	14.7	7.1	10	30435	13733
San Luis Obispo	CA	77	11.1	4.3	13.1	7427	6141
San Mateo	CA	1558	6.8	4.1	7.1	30483	14256
Santa Barbara	CA	146	13.1	4.3	10	17115	8732
Santa Clara	CA	1316	8.8	4	7.6	81257	26130
Santa Cruz	CA	561	11.3	4	13	10669	5098
Shasta	CA	48	13.4	6.7	19.5	5969	5509
Sierra	CA	4	9.2		-1111.1	280	365
Siskiyou	CA	7	15.5	2.7	17.3	2191	2528
Solano	CA	496	8.4	5.6	9.4	17454	7904
Sonoma	CA	296	8.8	4.4	9.4	17232	11708
Stanislaus	CA	338	14.2	7.5	10.6	23545	11061
Sutter	CA	148	12.9	3.6	13	6121	3480
Tehama	CA	21	14.8	6.4	16	3428	3110
Trinity	CA	4	14.3	8.1	20.8	1109	1436
Tulare	CA	85	21.5	6.1	8.8	22337	8117
Tuolumne	CA	27	11.5	5.4	16.9	2218	2961
Ventura	CA	431	9.8	5.5	9.1	34961	14611
Yolo	CA	183	12.1	5.2	8.9	7136	3512
Yuba	CA	106	16.7	7.5	18.2	5446	2706
