County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Adams	CO	335	10.5	6.6	18.5	19783	6700
Alamosa	CO	21	18.4	11.5	20.5	2312	1164
Arapahoe	CO	659	7.9	5	16.5	23114	8722
Archuleta	CO	9	11	6.5	24.4	977	497
Baca	CO	2	15.9		-1111.1	415	636
Bent	CO	4	19.3	11.5	-1111.1	674	686
Boulder	CO	378	9.5	4.9	14.3	11271	4334
Broomfield	CO	-2222	5.1		-2222.2	-2222.2	-2222.2
Chaffee	CO	17	11.6	3.3	23.9	1348	1421
Cheyenne	CO	1	11.1		-1111.1	245	224
Clear Creek	CO	23	6.8	7.9	21.6	1008	427
Conejos	CO	7	19.6	8.1	19.9	1231	749
Costilla	CO	3	21.6	14.8	35.5	452	391
Crowley	CO	7	25.5		-1111.1	453	444
Custer	CO	5	11		-1111.1	323	187
Delta	CO	26	13.2	6.9	27.8	1595	1640
Denver	CO	3638	15.1	6.7	14.2	34354	13530
Dolores	CO	2	12.1		-1111.1	197	177
Douglas	CO	297	2.2	4.2	10.4	11590	1576
Eagle	CO	28	6.4	3.9	16.4	3879	375
Elbert	CO	12	5.5	3.7	17.8	2086	749
El Paso	CO	266	10.4	6.5	17.4	25590	9662
Fremont	CO	31	14	8.8	21.6	2159	2460
Garfield	CO	17	8.5	6.5	18	4022	1368
Gilpin	CO	33	5.8		33.8	486	179
Grand	CO	7	7.6	1.6	14.2	1376	510
Gunnison	CO	4	11.7	8.3	16.4	1429	580
Hinsdale	CO	1	9.3		-1111.1	69	30
Huerfano	CO	5	19.2	6.4	17.6	680	932
Jackson	CO	1	13.1		-1111.1	152	116
Jefferson	CO	682	6.8	5.5	16.1	19626	10089
Kiowa	CO	1	10.3		-1111.1	161	182
Kit Carson	CO	4	13.2	9.1	19.9	854	732
Lake	CO	21	11.6	11.7	20.3	1208	376
La Plata	CO	28	10.6	4.4	19.9	2283	1233
Larimer	CO	105	9.3	5.6	15.4	10023	4640
Las Animas	CO	3	15.4	3.4	20.2	1677	1794
Lincoln	CO	2	15.1	1.9	15.8	574	593
Logan	CO	11	12.8	7	12.3	2536	1875
Mesa	CO	39	11.1	6.6	19.8	4709	3598
Mineral	CO	1	9.5		-1111.1	56	56
Moffat	CO	3	9.5	5.7	25.5	1701	884
Montezuma	CO	12	14.9	6.7	21.6	3176	2225
Montrose	CO	17	12.3	4.4	18.8	2276	1620
Morgan	CO	22	12.8	7.5	16.9	2393	1233
Otero	CO	15	17.8	6.2	17.4	2904	2394
Ouray	CO	8	7.6		-1111.1	307	190
Park	CO	8	7.2	5.8	16.5	1522	524
Phillips	CO	7	10.8	11	-1111.1	597	540
Pitkin	CO	15	5.2	2.9	18.4	1514	352
Prowers	CO	8	17.4	7.7	12.3	2291	1273
Pueblo	CO	63	15.2	7.6	21.2	6076	4442
Rio Blanco	CO	2	9.2	8.1	20	680	459
Rio Grande	CO	13	16.6	4.7	18.9	1644	1209
Routt	CO	9	6.3	5.5	14.5	1999	654
Saguache	CO	2	20.5	3.8	-1111.1	875	408
San Juan	CO	1	13.4		-1111.1	58	34
San Miguel	CO	6	8.7	0	-1111.1	663	137
Sedgwick	CO	5	11.1		-1111.1	308	416
Summit	CO	41	6.4	5.6	8.7	2726	357
Teller	CO	39	7.6	5.7	22.6	2124	838
Washington	CO	2	10.8		-1111.1	533	552
Weld	CO	57	10.3	7.3	12.3	10549	3637
Yuma	CO	4	12.1	8.8	13.4	1237	1044
