County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Ada	ID	327	9.3	5.9	14.8	14874	5752
Adams	ID	3	13.3		-1111.1	284	319
Bannock	ID	70	13.5	6.5	14.9	7026	2941
Bear Lake	ID	6	11.2	5.3	39.7	846	641
Benewah	ID	12	12.9	10.6	20.8	1155	930
Bingham	ID	21	12.9	4.5	19.1	3772	1432
Blaine	ID	8	6.3	7.9	18.2	2373	737
Boise	ID	4	10	4.6	-1111.1	712	319
Bonner	ID	24	13.4	7.9	18.3	1892	1617
Bonneville	ID	49	11.6	5.2	12.6	7509	2975
Boundary	ID	8	13.8	2.6	23.6	1262	811
Butte	ID	1	14		-1111.1	415	294
Camas	ID	1	7.4		-1111.1	98	49
Canyon	ID	279	13.5	6.5	12	8579	3025
Caribou	ID	4	10	8.6	23.6	1029	591
Cassia	ID	8	14.6	8.7	18.6	3841	1682
Clark	ID	1	16.1		-1111.1	165	67
Clearwater	ID	3	12.8	2.7	13	827	882
Custer	ID	1	12		-1111.1	430	357
Elmore	ID	9	11.7	7.2	12.7	5096	1438
Franklin	ID	19	9.7	8.1	-1111.1	2146	904
Fremont	ID	7	13.2	7.8	14.1	2008	870
Gem	ID	29	11.8	7.5	13.7	1906	1593
Gooding	ID	20	11.7	7.5	14	2188	1362
Idaho	ID	2	15	7.9	19.2	1583	1512
Jefferson	ID	20	11	8	15.4	3483	1190
Jerome	ID	33	12.9	7.8	17.4	3061	1403
Kootenai	ID	103	10.4	6.3	16.9	7493	4340
Latah	ID	32	14	6.2	10.8	2091	1073
Lemhi	ID	2	13.4	8.5	26.1	808	845
Lewis	ID	8	12.3		-1111.1	409	407
Lincoln	ID	4	11.1	3.6	-1111.1	600	332
Madison	ID	66	15.5	5.4	6.2	4881	1045
Minidoka	ID	25	13.3	10.4	15.2	3539	1659
Nez Perce	ID	45	11.8	8	25.5	2243	2089
Oneida	ID	4	10.3	0	-1111.1	552	368
Owyhee	ID	1	16.2	10.8	17.5	1734	783
Payette	ID	54	13.4	9.5	19.1	3026	1844
Power	ID	6	14.5	2.7	-1111.1	1227	501
Shoshone	ID	5	16.6	12.5	19.3	1554	1760
Teton	ID	17	9	8.8	18.3	1118	275
Twin Falls	ID	36	12.7	6.9	13.9	4918	3102
Valley	ID	2	9.7	3	24.2	742	592
Washington	ID	7	13.8	6.6	-1111.1	1340	1145
