County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Allen	KS	27	13.9	3.8	19.5	1756	1875
Anderson	KS	14	12.2	6.7	17.1	981	1066
Atchison	KS	39	11.8	6.3	10.6	2119	1868
Barber	KS	4	11.3		32.5	490	782
Barton	KS	31	12.4	8.4	10.5	1782	1614
Bourbon	KS	24	14.3	7.3	14.8	1978	2063
Brown	KS	18	12.8	11.5	-1111.1	1349	1475
Butler	KS	44	8.4	6.5	10.5	3720	2654
Chase	KS	4	10.4	3.8	-1111.1	563	428
Chautauqua	KS	6	13.8	18.8	-1111.1	368	719
Cherokee	KS	37	14.5	6.8	13.8	2918	2695
Cheyenne	KS	3	9.8		-1111.1	283	403
Clark	KS	2	10.6		-1111.1	252	347
Clay	KS	13	10.4	7.4	12.6	918	1174
Cloud	KS	14	11.4	7.4	12.6	1041	1657
Coffey	KS	14	9.1	6.4	-1111.1	1046	1048
Comanche	KS	2	9.5		-1111.1	206	365
Cowley	KS	31	13.4	9.1	16.9	2430	2230
Crawford	KS	64	15.2	6.4	16.1	2652	2315
Decatur	KS	4	10.9		-1111.1	320	580
Dickinson	KS	23	9.2	6.6	12.5	2190	2440
Doniphan	KS	20	11.5	2.5	15.3	914	866
Douglas	KS	225	12.4	5.3	9.7	6020	2676
Edwards	KS	5	11		-1111.1	401	529
Elk	KS	5	14.9		-1111.1	282	572
Ellis	KS	30	10.6	5.7	13.3	1762	1229
Ellsworth	KS	9	9.3	13.1	-1111.1	511	894
Finney	KS	30	13.2	7	6.5	4172	1047
Ford	KS	31	11.8	11.1	8.4	3322	1370
Franklin	KS	46	9.9	7	11.7	3448	2473
Geary	KS	64	12.9	9.2	16.5	2943	1037
Gove	KS	3	10		-1111.1	341	405
Graham	KS	3	11		-1111.1	238	423
Grant	KS	13	10	8.8	13.8	1502	539
Gray	KS	7	8.9	4.8	-1111.1	931	518
Greeley	KS	2	9.1		-1111.1	180	200
Greenwood	KS	6	13	15.1	20.2	816	1285
Hamilton	KS	3	11.6		-1111.1	371	293
Harper	KS	8	12.1	1.7	-1111.1	667	1049
Harvey	KS	63	8.9	3.2	9	2199	1761
Haskell	KS	7	10.6	4.4	-1111.1	741	281
Hodgeman	KS	2	8.9		-1111.1	208	244
Jackson	KS	21	9.4	8.8	-1111.1	1633	1313
Jefferson	KS	36	7.7	8.9	11.5	2096	1571
Jewell	KS	4	11.6		-1111.1	295	568
Johnson	KS	1062	4.8	4.5	10.7	21746	8591
Kearny	KS	5	9.8	4.7	-1111.1	708	365
Kingman	KS	9	10.2	3.6	11.8	911	1070
Kiowa	KS	4	11		-1111.1	394	384
Labette	KS	34	13.8	5.6	14.6	2800	3048
Lane	KS	3	8.5		-1111.1	216	267
Leavenworth	KS	158	8.3	7.2	13.5	4597	2607
Lincoln	KS	5	10.7		-1111.1	335	566
Linn	KS	17	12	7.4	17	1056	1219
Logan	KS	3	9.1		-1111.1	337	389
Lyon	KS	42	12.9	3.7	14.5	2681	1459
McPherson	KS	33	8	5.2	10.4	1725	1721
Marion	KS	14	9.4	5.6	8.2	1389	1849
Marshall	KS	12	9.9	5.1	-1111.1	1090	1577
Meade	KS	5	10.1	8.4	-1111.1	669	510
Miami	KS	53	8	6.7	16.3	1942	1259
Mitchell	KS	9	10	3.3	-1111.1	669	1051
Montgomery	KS	54	13.8	12.2	18.3	2370	2423
Morris	KS	9	9.5	5.1	-1111.1	669	798
Morton	KS	4	9.8	3.9	-1111.1	569	320
Nemaha	KS	15	9.1	5.6	12.3	1413	1513
Neosho	KS	29	13	5.6	13.5	1995	2088
Ness	KS	3	9.1		-1111.1	340	501
Norton	KS	6	10.6		-1111.1	549	741
Osage	KS	24	9.5	6.4	14.5	1908	1823
Osborne	KS	5	11.6		-1111.1	398	773
Ottawa	KS	8	8	4.8	-1111.1	688	798
Pawnee	KS	9	11.3	11	14.8	719	865
Phillips	KS	6	10.7	7	-1111.1	648	931
Pottawatomie	KS	23	9.1	7	13.7	2699	1664
Pratt	KS	13	10.5	10	20	1116	1181
Rawlins	KS	2	11.1		-1111.1	243	413
Reno	KS	51	12.5	6.2	12.1	4221	3447
Republic	KS	7	10.8		-1111.1	504	1039
Rice	KS	14	11.7	5.4	8.9	1232	1304
Riley	KS	103	14.2	8.4	8.4	4648	1565
Rooks	KS	6	11	7.4	-1111.1	613	803
Rush	KS	5	10.8		-1111.1	347	566
Russell	KS	8	11.3	1.5	-1111.1	720	1039
Saline	KS	75	10.4	6.7	10.8	3713	2455
Scott	KS	6	7.5	6.7	-1111.1	665	575
Sedgwick	KS	466	11.8	8.4	11.3	22574	11402
Seward	KS	36	13.8	7.5	7.2	4931	1384
Shawnee	KS	313	10.9	7.7	14.4	7414	5230
Sheridan	KS	3	10.2		-1111.1	250	356
Sherman	KS	6	13	4	15.3	839	703
Smith	KS	5	10.3		-1111.1	357	780
