County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Adair	KY	43	20	10.5	11.7	2127	1740
Allen	KY	54	14.8	7.3	14.6	2267	1913
Anderson	KY	101	9.2	5	12.5	2446	1508
Ballard	KY	33	13.6	2.3	16.6	987	1117
Barren	KY	82	15.3	4.6	10.1	2400	2089
Bath	KY	42	18.5	10.5	12	1445	1237
Bell	KY	82	25.8	9.2	13.3	1841	1850
Boone	KY	432	7.1	6.4	7.1	7302	2710
Bourbon	KY	68	13.6	8.4	10.4	2392	2035
Boyd	KY	310	15.3	7.7	9.9	2844	3037
Boyle	KY	156	13.3	5.2	10.6	1551	1549
Bracken	KY	43	11.7	13.3	-1111.1	1083	898
Breathitt	KY	32	26.2	9.7	15.3	1874	1752
Breckinridge	KY	34	15.4	5.6	18.2	2179	1892
Bullitt	KY	229	9.5	5.3	10.9	3763	1888
Butler	KY	31	16.1	9.9	17.2	1572	1313
Caldwell	KY	37	14.5	4.7	16	1455	1765
Calloway	KY	91	14.8	3.5	16.4	1724	1779
Campbell	KY	576	10.3	7.1	11.8	6163	4342
Carlisle	KY	28	12.8	1.8	20.9	605	715
Carroll	KY	80	13.3	6.4	20.2	1385	1111
Carter	KY	67	20.4	8.4	13.4	1784	1467
Casey	KY	37	21.2	5.7	17.3	1969	1759
Christian	KY	97	15.9	6.3	11	7771	2993
Clark	KY	137	12.4	7.1	13.9	2118	1584
Clay	KY	51	30.3	12.2	8.1	3047	2218
Clinton	KY	48	21.7	7.2	17.8	1229	1118
Crittenden	KY	25	16.8	8	9.9	988	1238
Cumberland	KY	23	20.7	4.1	21.4	825	996
Daviess	KY	201	13	7.4	11.8	6580	4509
Edmonson	KY	40	16.3	4.4	-1111.1	1261	1087
Elliott	KY	30	21.8	4.4	-1111.1	749	664
Estill	KY	59	21.1	6.4	19.7	1909	1705
Fayette	KY	942	13	6.1	10	11105	6005
Fleming	KY	42	16.8	3.2	12.4	1729	1450
Floyd	KY	107	24.1	5.9	14.7	2722	2410
Franklin	KY	229	10.9	8.6	16.5	3021	2337
Fulton	KY	35	20.7	8.9	18.3	979	1158
Gallatin	KY	82	15.2	2	25.5	1089	722
Garrard	KY	72	13.8	9.2	14.2	1671	1350
Grant	KY	95	12.5	5.6	12.1	3524	1784
Graves	KY	68	15	7	14	2423	2296
Grayson	KY	50	16.1	5.9	18	3056	2577
Green	KY	40	17.1	5.4	11.2	1248	1294
Greenup	KY	107	14.6	8.8	7.1	2047	2016
Hancock	KY	46	11.1	3.8	-1111.1	1145	691
Hardin	KY	154	11.3	7.8	10.2	7338	3403
Harlan	KY	68	26.6	7.4	14.4	2039	2177
Harrison	KY	60	12.7	8.9	12.2	2229	1950
Hart	KY	44	19.4	5.9	14.5	2249	1855
Henderson	KY	104	13.3	8	13.7	2996	2261
Henry	KY	55	12.8	5.5	15.1	2044	1549
Hickman	KY	21	14.7		-1111.1	553	724
Hopkins	KY	85	15.3	5.5	14	2909	2773
Jackson	KY	39	22.7	2.6	15.3	1699	1391
Jefferson	KY	1817	13.3	6.6	12.7	29266	21413
Jessamine	KY	251	12.2	3.2	6.1	2777	1505
Johnson	KY	92	21	8.7	10.8	3059	2538
Kenton	KY	949	10.7	8.8	13.8	7021	4007
Knott	KY	50	23.7	6.9	9.2	1955	1639
Knox	KY	83	26.3	9.7	15.5	2265	1740
Larue	KY	52	14.4	13.9	10.8	1596	1410
Laurel	KY	129	18.7	7	15.4	3864	2508
Lawrence	KY	39	22.6	4.9	14.1	1818	1710
Lee	KY	37	26.5	7.6	26.4	888	947
Leslie	KY	30	25.6	9.5	16.1	1543	1258
Letcher	KY	72	21.8	10.2	18.5	1468	1486
Lewis	KY	29	23.7	7.6	16.2	1783	1470
Lincoln	KY	75	17.5	5.8	9.4	3076	2351
Livingston	KY	31	11.6	5.9	13.4	939	1133
Logan	KY	49	14.9	6.7	12	1792	1427
Lyon	KY	38	13	7.5	-1111.1	584	940
McCracken	KY	258	15.4	7.3	18.9	4102	3842
McCreary	KY	40	27.3	10.8	14.9	2376	1779
McLean	KY	39	13.9	10.7	15.7	1221	1200
Madison	KY	176	15	6.2	6.7	4840	2723
Magoffin	KY	44	26.8	4.8	12.5	1856	1304
Marion	KY	55	15.7	5.4	13.9	2447	1731
Marshall	KY	102	10.9	4	16.7	1519	1801
Martin	KY	53	26.7	9.9	7.9	1816	1145
Mason	KY	71	15.9	10.6	10.6	2191	2108
Meade	KY	92	10.9	5.8	14.3	1540	837
Menifee	KY	33	22	7.1	-1111.1	755	592
Mercer	KY	86	12.7	7.4	17	2737	2223
Metcalfe	KY	35	19.4	7	-1111.1	1278	1192
Monroe	KY	35	20.2	4.6	18.2	1464	1473
Montgomery	KY	122	14.5	8.7	12.4	3120	2229
Morgan	KY	38	24.5	5.9	11.9	1483	1191
Muhlenberg	KY	66	17.3	5.7	13.1	1929	1950
Nelson	KY	97	11.8	3.3	16	2697	1549
Nicholas	KY	36	14.3	3.6	-1111.1	934	820
Ohio	KY	40	16.2	6.7	14.2	2820	2650
Oldham	KY	283	5.9	5.9	8.8	2717	1285
Owen	KY	32	14.7	9.9	11.6	1216	1071
Owsley	KY	24	31.9	3.6	29.3	633	706
Pendleton	KY	54	12	9	16.7	1846	1221
Perry	KY	86	23.3	6.3	11	2067	1697
Pike	KY	85	20.7	7.5	12	3854	3915
Powell	KY	76	20.9	10	10.1	1864	1235
Pulaski	KY	89	17.1	5.4	14	3690	3158
Robertson	KY	23	17.3		-1111.1	248	295
Rockcastle	KY	53	19.5	7.9	16.3	1973	1747
Rowan	KY	79	18.7	4	11.3	2518	1685
Russell	KY	67	19.8	5.2	15.9	1918	1854
Scott	KY	138	10	6	14.6	2668	1199
Shelby	KY	99	10	5.3	7.9	2441	1430
Simpson	KY	72	13.1	8.9	14.9	2262	1693
Spencer	KY	84	8.3	5	11.6	1518	824
Taylor	KY	88	16.6	6.7	19.5	2799	2458
Todd	KY	32	16.5	6.5	11.7	1696	1368
Trigg	KY	30	12.1	6.6	11.3	1333	1442
Trimble	KY	61	12.7	5.4	20.8	1021	719
Union	KY	45	14.1	9	16.1	1966	1676
Warren	KY	182	15.2	6.2	14	6295	3893
Washington	KY	38	14	5.7	13	1349	1193
Wayne	KY	44	22.6	8.6	14.7	2428	2010
Webster	KY	42	13.8	6.1	12.8	1797	1648
Whitley	KY	86	23.1	7.8	18.1	2554	2123
Wolfe	KY	32	27.6	10.4	27.4	1085	890
Woodford	KY	127	9.1	6.8	10	2946	1807
