County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Aitkin	MN	9	10.8	6.3	12.5	1408	1824
Anoka	MN	765	5.3	3.9	8.9	12928	4331
Becker	MN	24	11.1	7.8	12.3	1915	1613
Beltrami	MN	17	15.2	7.1	14.1	2952	1661
Benton	MN	94	7.3	5.1	8.4	2762	1541
Big Stone	MN	11	10.1		-1111.1	546	961
Blue Earth	MN	77	10.3	3.8	8.6	3394	2191
Brown	MN	43	7.1	4.2	-1111.1	1426	1382
Carlton	MN	40	8.1	7	16	1846	1578
Carver	MN	238	4	3.5	6.4	5764	1508
Cass	MN	14	11.7	6.5	15.8	1545	1493
Chippewa	MN	22	8.5	7.1	8.1	1432	1574
Chisago	MN	118	5.5	4.1	12.6	3389	1548
Clay	MN	52	9.9	7.3	12.4	3172	2031
Clearwater	MN	9	12.9	8.9	22.6	997	1094
Cook	MN	4	7.1		-1111.1	463	422
Cottonwood	MN	18	9.5	5.7	-1111.1	1369	1611
Crow Wing	MN	60	9.1	4.8	12.8	3512	2614
Dakota	MN	673	4.9	4.9	8.7	15864	5143
Dodge	MN	45	5.6	4.4	11.4	2521	1279
Douglas	MN	55	7.7	4.4	8.4	1803	1663
Faribault	MN	22	8.9	5.6	11.3	1589	2159
Fillmore	MN	25	8.5	6.7	9.9	2457	2560
Freeborn	MN	45	8.7	6.1	11.3	1961	1893
Goodhue	MN	60	6.1	4.2	12.2	2628	2255
Grant	MN	11	8.5	0	-1111.1	624	890
Hennepin	MN	2011	9.1	5.3	8.5	49101	23700
Houston	MN	36	7	6.8	7.8	2132	1841
Hubbard	MN	20	10.4	6	12.9	1836	1821
Isanti	MN	86	6.1	5.9	13.9	2035	1162
Itasca	MN	17	9.9	8.3	14.5	2287	2347
Jackson	MN	16	8	1.9	12.6	1147	1310
Kanabec	MN	31	9	5.5	10	1624	1276
Kandiyohi	MN	52	9.5	3.4	8.1	2677	1839
Kittson	MN	4	8.5		-1111.1	535	795
Koochiching	MN	4	10.5	9.3	9.9	1452	1632
Lac qui Parle	MN	10	8	1.5	-1111.1	752	1183
Lake	MN	5	7.7	7.6	-1111.1	1012	1290
Lake of the Woods	MN	3	8.3		-1111.1	396	437
Le Sueur	MN	61	6.5	3.5	13.5	3171	2182
Lincoln	MN	11	8.4	1.7	-1111.1	673	1040
Lyon	MN	34	8.7	6.4	10.2	3360	2345
McLeod	MN	74	6.1	8.1	6.2	2478	1487
Mahnomen	MN	9	15.1	7	-1111.1	788	571
Marshall	MN	6	8.5	8.9	-1111.1	1124	1083
Martin	MN	30	9.8	3.9	5.2	2330	2554
Meeker	MN	38	7.7	2.7	11.5	2801	2269
Mille Lacs	MN	45	8.7	5.7	8	2711	2447
Morrison	MN	29	9.4	7.9	15.3	2037	1502
Mower	MN	55	9.2	4.6	12	2610	2083
Murray	MN	13	7.5	6	-1111.1	925	1017
Nicollet	MN	68	7.5	1.6	7.6	1867	895
Nobles	MN	29	9.7	4.1	7.9	2973	1986
Norman	MN	8	9.8	4.1	-1111.1	831	1089
Olmsted	MN	207	6.8	6	8	5960	2356
Otter Tail	MN	29	9.6	4.8	14.6	2938	3291
Pennington	MN	22	9.5	6.4	12	1714	1486
Pine	MN	20	10.7	6.6	12.4	2865	2387
Pipestone	MN	20	8.8	6.8	-1111.1	1133	1299
Polk	MN	16	10.7	3.3	13.6	1801	1879
Pope	MN	17	8.3	4.1	7.1	1089	1535
Ramsey	MN	3177	10.7	5.6	9.1	22222	11712
Red Lake	MN	10	9	11.6	-1111.1	480	509
Redwood	MN	18	8.4	4.5	13.2	1991	2131
Renville	MN	17	9	5.5	7.4	2013	2201
Rice	MN	122	7.2	6.3	9.9	3471	2156
Rock	MN	20	7.6	8.6	11.9	1181	1200
Roseau	MN	10	6.4	6.2	13.3	2345	1385
St. Louis	MN	32	10.5	5.2	13.4	6155	6609
Scott	MN	336	3.8	2.8	9.6	8986	2024
Sherburne	MN	187	4.6	4.2	13.7	5704	1861
Sibley	MN	26	8	4.7	6.5	1876	1491
Stearns	MN	106	8	5.8	8.7	5340	2307
Steele	MN	83	6.8	5.9	7.3	2380	1430
Stevens	MN	17	8.6	10.9	-1111.1	1007	930
Swift	MN	15	9.2	2.7	10.5	1232	1325
Todd	MN	26	11.3	6	10	2785	2312
Traverse	MN	7	10.4		-1111.1	423	605
Wabasha	MN	42	6.3	8.7	6.7	2471	1949
Wadena	MN	26	11.9	3.4	13.2	1632	1862
Waseca	MN	46	8	4.6	-1111.1	2392	1720
Washington	MN	563	4.7	5.1	8.3	8599	3155
Watonwan	MN	26	8.8	6.1	-1111.1	1646	1264
Wilkin	MN	9	8.2	10.4	17	867	766
Winona	MN	79	9.7	6.5	8.4	2625	2082
Wright	MN	168	4.9	4	7.6	7932	2736
Yellow Medicine	MN	14	8.5	7.1	10.1	1259	1380
