County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Adair	MO	43	15.9	5.2	11.8	2852	2275
Andrew	MO	39	8.3	3.8	13.1	1757	1581
Atchison	MO	11	11	1.8	-1111.1	618	910
Audrain	MO	37	13.6	7.9	16.9	3470	3068
Barry	MO	46	14.9	6.2	15.9	2403	1932
Barton	MO	22	12.8	5.7	14.3	1758	1400
Bates	MO	20	13	7.1	13.4	2060	2151
Benton	MO	27	14.6	8.6	17.1	1519	2425
Bollinger	MO	20	13.3	11.4	12.5	1386	1238
Boone	MO	209	11.7	6.7	12.3	5399	2603
Buchanan	MO	207	12.3	6.8	13.3	5601	4681
Butler	MO	59	17	14.9	14.6	2760	2682
Caldwell	MO	22	11.9	9.1	11.8	1096	1069
Callaway	MO	51	9.8	6.1	15.6	2458	1698
Camden	MO	60	11.7	6.3	9.7	1905	1948
Cape Girardeau	MO	123	11.2	7.1	8	4343	3403
Carroll	MO	15	12.8	5.5	20.3	1231	1433
Carter	MO	12	19.4	7	17.8	795	796
Cass	MO	135	7.4	5.4	11	5735	3603
Cedar	MO	30	15.8	7.3	14.1	1518	1983
Chariton	MO	11	10.9	4.3	-1111.1	767	1292
Christian	MO	119	9.3	4.1	16	4146	2134
Clark	MO	14	12.5	6.6	19.9	822	883
Clay	MO	510	6.6	5.7	12.9	8658	4285
Clinton	MO	49	8.6	5	14.6	2403	2113
Cole	MO	186	9	6.7	11.1	4628	3006
Cooper	MO	31	11.2	4.1	14	1895	1763
Crawford	MO	32	14.5	4.4	14.9	3049	2521
Dade	MO	16	13	6.4	15.4	877	1196
Dallas	MO	30	15.3	8.1	14.4	2053	1706
Daviess	MO	14	14.2	7.5	23.7	1172	1013
DeKalb	MO	29	13.5	6.2	10	1055	1198
Dent	MO	20	16	4.4	17.7	1770	1935
Douglas	MO	17	17	7.1	23.3	1413	1447
Dunklin	MO	60	20.5	9.6	13.6	2397	2392
Franklin	MO	107	8.4	5.4	16.5	6474	4364
Gasconade	MO	30	9.7	7.3	10.7	1660	2036
Gentry	MO	13	11.3	1.4	-1111.1	780	1095
Greene	MO	372	12.5	7.3	14.1	9313	7238
Grundy	MO	24	14.2	3.4	12.3	1288	1568
Harrison	MO	12	13.3	6.7	15	994	1294
Henry	MO	32	13.3	6.3	12.7	2580	2987
Hickory	MO	23	16.2	7.7	13.5	729	1372
Holt	MO	11	11.8		-1111.1	510	751
Howard	MO	21	11.8	9.9	14.9	1130	1137
Howell	MO	41	17.1	5.7	14.8	2451	2331
Iron	MO	19	17.6	7.4	14.1	1349	1833
Jackson	MO	1096	12.3	7.5	13.3	30546	18206
Jasper	MO	173	14.9	7.8	14.6	8497	5548
Jefferson	MO	325	8	7.6	13.1	8180	4709
Johnson	MO	61	11.5	5.3	10.3	3557	1677
Knox	MO	8	14.5		-1111.1	514	650
Laclede	MO	45	14.3	7.1	10.6	2254	1724
Lafayette	MO	53	10.2	5.9	-1111.1	2035	1954
Lawrence	MO	61	13.7	10	15.9	2493	2024
Lewis	MO	20	13.3	2.6	17.5	1252	1245
Lincoln	MO	76	9	6.2	11.4	2882	1685
Linn	MO	21	13.4	4.6	11.5	1721	2021
Livingston	MO	27	12.6	11.9	9.8	1704	1939
McDonald	MO	42	16.9	10	16	3432	1988
Macon	MO	19	12.1	7.7	12	1871	2208
Madison	MO	24	15	7.1	12.3	1388	1620
Maries	MO	17	12.2	4.5	17	982	959
Marion	MO	65	12.6	5	-1111.1	2010	1764
Mercer	MO	8	12.1	13.5	29.9	421	498
Miller	MO	42	13.4	4.3	14.1	3078	2667
Mississippi	MO	33	20.5	9.9	17.1	2023	1820
Moniteau	MO	36	10.5	8.2	9.1	1887	1466
Monroe	MO	15	10	4	17.2	1102	1153
Montgomery	MO	23	11.9	6.9	22.7	1460	1603
Morgan	MO	34	14.8	10.3	17.3	2223	2507
New Madrid	MO	27	18.7	9.1	16.7	2629	2556
Newton	MO	89	12.2	9	9.4	3567	2714
Nodaway	MO	25	11.5	3.1	13	2130	1991
Oregon	MO	13	18.5	6.8	20.2	1149	1383
Osage	MO	22	8.4	8.4	13.9	1690	1278
Ozark	MO	13	18.1	3.2	-1111.1	1033	1235
Pemiscot	MO	39	23.1	12.3	14	3651	2734
Perry	MO	39	9.6	5.6	12.2	2403	1927
Pettis	MO	59	12.8	9.3	16.1	2895	2119
Phelps	MO	63	14.1	7.6	11.8	2506	2097
Pike	MO	28	14.3	7.5	15.5	2057	1957
Platte	MO	195	5.5	7.2	11.1	5125	2415
Polk	MO	45	15	5.1	13.2	1775	1509
Pulaski	MO	81	12.3	9	-1111.1	3117	1411
Putnam	MO	10	13.8	1.8	-1111.1	584	774
Ralls	MO	21	9	8.7	14.6	922	917
Randolph	MO	53	13.5	7.4	15.1	3279	3073
Ray	MO	42	8.4	4.9	14.6	2946	2260
Reynolds	MO	8	18.1	10.9	13.8	717	758
Ripley	MO	22	19.1	7.1	16.2	1730	1732
St. Charles	MO	589	4.9	6.7	9.5	12968	5374
St. Clair	MO	14	16.7	7.2	15.3	933	1357
Ste. Genevieve	MO	36	8.8	3.6	17.6	1871	1611
St. Francois	MO	137	14.3	8.3	14.4	3594	3496
St. Louis	MO	1978	8.6	8.4	10.5	36724	29021
Saline	MO	31	13.3	9.4	11.5	2853	2879
Schuyler	MO	14	13.6	11.8	-1111.1	468	616
Scotland	MO	11	13	5	19	676	738
Scott	MO	98	14.6	12.6	9.6	2865	2102
Shannon	MO	8	21.1	11.8	-1111.1	948	853
Shelby	MO	13	13.5	1.4	-1111.1	794	1004
Stoddard	MO	36	14.9	9.4	13.4	1697	1877
Stone	MO	67	12.7	11.8	10.6	1527	1493
Sullivan	MO	11	14.7	6.9	-1111.1	955	989
Taney	MO	68	13.2	6.2	10	2755	2135
Texas	MO	21	18.4	9.9	13.5	2732	2694
Vernon	MO	25	15	13.2	15.1	2685	2452
Warren	MO	67	9.1	4.1	19.3	3204	2056
Washington	MO	32	18.3	6	12.1	3079	2238
Wayne	MO	17	19.9	16	15.4	1520	1781
Webster	MO	59	13.9	8.2	12.8	2436	1337
Worth	MO	8	13.2		-1111.1	240	384
Wright	MO	27	18.7	7.9	12.1	2506	2198
St. Louis City	MO	5561	21.3	12.8	13.1	15755	12366
