County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Adams	NE	59	10.1	6.9	7.3	2021	1517
Antelope	NE	8	11.8	4.3	-1111.1	789	866
Arthur	NE	1	9.8		-1111.1	50	41
Banner	NE	1	8.1		-1111.1	53	54
Blaine	NE	1	15		-1111.1	80	56
Boone	NE	8	10	6.7	-1111.1	676	711
Box Butte	NE	11	11.4	6.9	14.1	1621	1283
Boyd	NE	4	11.6		-1111.1	239	368
Brown	NE	3	11.4		-1111.1	398	462
Buffalo	NE	45	10.4	5.9	13.1	3029	1647
Burt	NE	15	9.9	5.6	-1111.1	776	1148
Butler	NE	15	9.1	3.1	10.9	1071	1053
Cass	NE	46	6.4	6.6	12.6	3177	2054
Cedar	NE	12	8.4	8.9	14.2	1146	1172
Chase	NE	4	10.1		-1111.1	474	558
Cherry	NE	1	12.4	6	16.1	753	639
Cheyenne	NE	8	9.5	8.1	22.5	1217	1162
Clay	NE	12	10.4	8.3	-1111.1	832	856
Colfax	NE	25	9.5	10	10.8	1644	1064
Cuming	NE	17	8.8	5.1	-1111.1	1313	1208
Custer	NE	4	12.3	7.5	-1111.1	1360	1660
Dakota	NE	77	10.8	7.5	16	3712	1638
Dawes	NE	6	16	5.5	17.4	1017	908
Dawson	NE	24	10.6	10.5	11.2	4187	2357
Deuel	NE	5	10		-1111.1	184	312
Dixon	NE	13	8.9	1.4	-1111.1	804	681
Dodge	NE	68	9.6	5.5	7.9	2356	2070
Douglas	NE	1471	10.8	7.4	10.9	23667	10979
Dundy	NE	2	11.4		-1111.1	235	338
Fillmore	NE	11	9.5	6	-1111.1	736	970
Franklin	NE	6	11.6		-1111.1	348	592
Frontier	NE	3	10.6		-1111.1	302	306
Furnas	NE	7	11.1	7.8	-1111.1	578	941
Gage	NE	27	9.7	8	21.7	2617	2918
Garden	NE	1	12.7		-1111.1	164	405
Garfield	NE	3	11.5		-1111.1	196	346
Gosper	NE	4	8		-1111.1	242	276
Grant	NE	1	9.3		-1111.1	80	57
Greeley	NE	4	12.4		-1111.1	337	366
Hall	NE	101	12.1	7.5	8.6	4512	2507
Hamilton	NE	18	8.2	8.6	-1111.1	1156	973
Harlan	NE	6	9.9		-1111.1	344	498
Hayes	NE	1	9		-1111.1	78	89
Hitchcock	NE	4	13.1		-1111.1	308	453
Holt	NE	4	12.2	6	12.4	1316	1317
Hooker	NE	1	9		-1111.1	79	138
Howard	NE	12	10.7	4.4	-1111.1	760	683
Jefferson	NE	14	9.5	8	-1111.1	849	1163
Johnson	NE	12	9		-1111.1	459	603
Kearney	NE	13	7.9	8.5	-1111.1	782	753
Keith	NE	8	10.5	11.9	23.5	934	981
Keya Paha	NE	1	13.1		-1111.1	117	99
Kimball	NE	4	11.9		-1111.1	389	513
Knox	NE	8	13.7	3.1	-1111.1	1068	1364
Lancaster	NE	316	9.5	6.4	11.8	11573	5142
Lincoln	NE	14	10.9	5.5	13.8	2345	1708
Logan	NE	1	10		-1111.1	95	93
Loup	NE	1	11.1		-1111.1	69	66
McPherson	NE	1	12.1		-1111.1	48	30
Madison	NE	62	11.2	6.1	11.4	2772	1705
Merrick	NE	17	9.9	6.8	-1111.1	1006	948
Morrill	NE	4	13.7	5.1	-1111.1	661	691
Nance	NE	8	11.6		-1111.1	449	552
Nemaha	NE	17	11.1	6.1	16.4	733	991
Nuckolls	NE	8	11.1		-1111.1	503	787
Otoe	NE	25	8.4	8	9.6	1814	1906
Pawnee	NE	7	10.8		-1111.1	253	560
Perkins	NE	3	10.1		-1111.1	303	406
Phelps	NE	17	9.6	3.7	-1111.1	1198	1175
Pierce	NE	13	9.9	7.3	-1111.1	909	905
Platte	NE	46	8.6	7.8	8.6	2190	1293
Polk	NE	12	7.4	3.4	-1111.1	657	738
Red Willow	NE	15	10.7	5.4	18.9	1413	1267
Richardson	NE	16	11.5	6.1	-1111.1	939	1527
Rock	NE	2	14.7		-1111.1	155	217
Saline	NE	25	8.3	5.6	10.5	1591	1702
Sarpy	NE	579	5.5	5.4	10.9	6875	1877
Saunders	NE	27	7.5	5.1	8.4	2403	1814
Scotts Bluff	NE	50	14.4	6.8	13.8	2639	2163
Seward	NE	29	7.3	3.7	10	1777	1624
Sheridan	NE	2	13.3	9.5	-1111.1	713	875
Sherman	NE	5	11.5		-1111.1	358	467
Sioux	NE	1	9.7		-1111.1	103	81
Stanton	NE	15	7.8	0	-1111.1	836	501
Thayer	NE	9	10.3	5.9	-1111.1	569	996
Thomas	NE	1	11.8		-1111.1	69	71
Thurston	NE	19	20.3	12.3	14.8	1542	796
Valley	NE	8	11.8		-1111.1	477	663
Washington	NE	51	6.1	7.3	9.9	2120	1591
Wayne	NE	21	11.3	6.5	-1111.1	1043	692
Webster	NE	7	9.6		-1111.1	394	675
Wheeler	NE	1	12.3		-1111.1	117	86
York	NE	25	9	7.1	8.2	1733	1520
