County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Bernalillo	NM	518	14.8	6.1	19.3	25810	13285
Catron	NM	0	18.9		-1111.1	254	278
Chaves	NM	10	21.3	7.2	22.6	4608	3152
Cibola	NM	6	21.3	7.6	19.8	2115	1027
Colfax	NM	4	15.6	2.8	24.7	1620	1390
Curry	NM	33	18.7	7.6	14.1	4078	1891
De Baca	NM	1	17.8		-1111.1	211	310
Dona Ana	NM	50	24.5	5.3	13	9302	3526
Eddy	NM	12	17.5	8	17.4	3757	2822
Grant	NM	8	19.6	6.6	24.7	1969	1557
Guadalupe	NM	1	20.9	5.8	-1111.1	563	418
Harding	NM	0	13.1		-1111.1	51	96
Hidalgo	NM	1	23.6	5.4	-1111.1	856	494
Lea	NM	13	18.6	5.7	15.5	4570	2477
Lincoln	NM	4	15.2	6.1	33.3	1986	1539
Los Alamos	NM	172	3	4.7	13.5	1913	983
Luna	NM	9	26.2	7.7	25.6	4041	2471
McKinley	NM	13	30.6	9.7	19.8	6890	2304
Mora	NM	3	21.2		33.1	507	436
Otero	NM	10	16.5	6.5	21.4	4297	2316
Quay	NM	3	21.2	8.5	21.1	1177	1302
Rio Arriba	NM	7	17.9	6.5	28.1	3380	1675
Roosevelt	NM	7	21.5	5.9	10.5	3089	1380
Sandoval	NM	29	12	5.9	14.5	6432	2932
San Juan	NM	23	18.4	5.9	17.6	5921	2355
San Miguel	NM	6	21.7	3.2	27.1	1883	1285
Santa Fe	NM	74	12.3	5.2	19	4800	2488
Sierra	NM	3	21.2	9	39.1	1140	2187
Socorro	NM	3	25.1	2.7	23.1	2469	1301
Taos	NM	14	19.4	5.4	13.5	1836	1141
Torrance	NM	5	21.5	7.7	21.2	2004	1053
Union	NM	1	15.5		-1111.1	490	507
Valencia	NM	65	16.6	6.9	15.6	4921	2351
