County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Albany	NY	568	10.8	8.3	6.9	9668	8491
Allegany	NY	49	14.8	7	12.6	2721	2453
Bronx	NY	32300	26.8	6.8	5.8	68201	30886
Broome	NY	279	12.9	7.8	7.7	6302	6333
Cattaraugus	NY	63	13.6	6.7	10.2	4949	4219
Cayuga	NY	118	11.6	6.4	6.2	4407	3686
Chautauqua	NY	128	14.9	9	8.4	4544	4522
Chemung	NY	219	13.5	6.4	8.2	5433	4754
Chenango	NY	58	13.5	7.9	6.8	2770	2680
Clinton	NY	79	12.6	6.1	11.8	3954	3272
Columbia	NY	100	9.8	7.5	8.5	3077	3463
Cortland	NY	97	13.4	5.4	4.7	2775	2175
Delaware	NY	33	12.6	7.3	10.1	2202	2765
Dutchess	NY	368	8	5.8	4.8	9744	6753
Erie	NY	891	13	8.3	6.6	32027	30099
Essex	NY	22	11.5	7.9	14	1781	2048
Franklin	NY	31	14.6	6.1	13.9	2295	2213
Fulton	NY	112	12.7	5.8	7.9	3124	2906
Genesee	NY	120	9.1	3.5	6.7	3399	2922
Greene	NY	77	12.9	5.4	10.1	2219	2668
Hamilton	NY	3	9.5		-1111.1	431	639
Herkimer	NY	45	12.4	6.5	12.3	3378	3670
Jefferson	NY	91	14.5	7.8	10.7	4992	2620
Kings	NY	35211	23.3	6.5	4.6	119171	54937
Lewis	NY	21	12.9	8.6	9.5	1635	1141
Livingston	NY	102	10.8	5.5	8	3297	2519
Madison	NY	107	10.4	6.9	10.5	3758	2896
Monroe	NY	1112	12.7	6.2	6.2	26811	18882
Montgomery	NY	121	13	6.1	10.1	2959	3192
Nassau	NY	4650	5.9	4.7	4.8	48734	33965
New York	NY	69390	18.6	4.9	8.2	60627	34423
Niagara	NY	415	11.4	7.5	7.4	7299	7088
Oneida	NY	193	12.8	8.1	8.8	7618	7858
Onondaga	NY	587	12.1	10	6.3	17024	12202
Ontario	NY	162	8.4	5.8	9.1	5654	4508
Orange	NY	457	10.5	5.4	6.3	15319	7645
Orleans	NY	111	12.6	4	8.2	2471	1973
Oswego	NY	129	13	7.4	9.4	4172	3129
Otsego	NY	63	12.6	4.3	9.4	2785	3011
Putnam	NY	435	4.6	2.4	6.4	5874	2964
Queens	NY	20520	15.4	5.2	4.7	92216	47876
Rensselaer	NY	237	9.8	7.6	7.4	5155	4396
Richmond	NY	7944	10.1	5	6	17514	11023
Rockland	NY	1681	9.7	4.1	4.6	14043	6399
St. Lawrence	NY	41	15.2	6.6	8.6	3657	3199
Saratoga	NY	265	6.3	4.5	7.2	7389	4436
Schenectady	NY	723	11.6	6.8	8.4	5318	4736
Schoharie	NY	52	11.6	4.6	8.8	1510	1498
Schuyler	NY	59	11.5	9	11.6	2130	1895
Seneca	NY	107	11.3	6	-1111.1	1829	1634
Steuben	NY	71	13.6	6.9	10.6	5832	5147
Suffolk	NY	1617	7.3	5.2	5.2	59799	34425
Sullivan	NY	79	13.5	9.4	12.5	4244	3804
Tioga	NY	99	9.6	7.3	7.9	3003	2090
Tompkins	NY	210	12.9	6.3	11	4427	2987
Ulster	NY	162	10.6	4.6	7.7	5439	4809
Warren	NY	75	10	6.1	8.9	3257	3003
Washington	NY	75	11	6	12.9	3165	3017
Wayne	NY	155	10.1	6.1	8.9	5766	4007
Westchester	NY	2174	8.7	4.5	4.8	38104	22249
Wyoming	NY	72	10	7.9	9.8	2146	1850
Yates	NY	73	12.8	8.2	5.9	3129	2596
