County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Adams	PA	192	7.5	8.1	10.2	5200	4317
Allegheny	PA	1693	10.8	8	10.8	40998	45786
Armstrong	PA	108	11.1	7.7	11.7	3624	4379
Beaver	PA	409	10.5	6.1	11.7	5410	6479
Bedford	PA	49	10.7	10.7	17.9	2814	2482
Berks	PA	461	10.1	8	10.8	14214	10858
Blair	PA	241	12.3	6.2	9.7	4323	4930
Bradford	PA	54	11.2	5.7	10.5	3702	3261
Bucks	PA	1023	5.6	5.4	10.4	21369	15174
Butler	PA	231	8.2	5.4	11.1	6272	5292
Cambria	PA	215	11.8	7.8	14.8	4474	5762
Cameron	PA	14	10.1	5.4	-1111.1	635	718
Carbon	PA	163	9.1	5.7	13.2	2995	3762
Centre	PA	127	11.5	6.6	9.8	3813	2700
Chester	PA	627	5.3	5.8	8	17771	9822
Clarion	PA	67	12.7	3.5	12.6	2012	2159
Clearfield	PA	72	12.8	8.3	12.6	4077	4583
Clinton	PA	42	12.4	6.2	11.1	2099	2056
Columbia	PA	134	11.1	7.5	10	3080	3350
Crawford	PA	88	12.3	8.2	9.8	5360	4833
Cumberland	PA	405	6.2	6.4	8.7	6725	6061
Dauphin	PA	484	8.9	6.7	8.8	9542	7377
Delaware	PA	3016	8.9	6.9	8.9	20217	17172
Elk	PA	41	8.2	5.6	11.7	1773	1895
Erie	PA	350	12.6	8.8	9.6	10047	8070
Fayette	PA	185	15.9	5.8	12.8	4519	5498
Forest	PA	13	12.9	21.2	-1111.1	373	772
Franklin	PA	178	8.2	6	10.1	4836	3868
Fulton	PA	34	9.4	2.8	14	1636	1276
Greene	PA	69	14.6	11.9	13.8	2015	2343
Huntingdon	PA	53	11.9	5	12.3	2420	2097
Indiana	PA	107	14.2	8	12.4	4393	4535
Jefferson	PA	70	11.7	7.4	12.6	2555	2780
Juniata	PA	60	8.5	6.8	6.2	2911	2220
Lackawanna	PA	457	10.2	6.8	11.3	6442	8654
Lancaster	PA	517	8.3	7.8	7.8	19996	12837
Lawrence	PA	257	12.2	8.6	12.1	5117	5926
Lebanon	PA	347	8.7	6.3	10.2	4313	3827
Lehigh	PA	953	9.6	8	10.4	11555	9461
Luzerne	PA	351	10.8	7.3	14	8999	13344
Lycoming	PA	96	11.3	9.4	7.1	3917	3710
McKean	PA	45	12.6	7.6	13.7	2498	2750
Mercer	PA	178	12.3	9.3	8.1	3865	4221
Mifflin	PA	112	12	9.4	11.7	2963	2586
Monroe	PA	268	8.7	8.6	11.3	4670	3585
Montgomery	PA	1606	5.5	5.3	8.6	28676	21093
Montour	PA	138	8.7	10.3	13.3	2182	2274
Northampton	PA	770	7.7	5.8	10.6	9005	7777
Northumberland	PA	201	10.2	6.9	11	4893	5969
Perry	PA	81	7.9	6.5	13.2	2608	1920
Philadelphia	PA	10832	20.1	10.4	10.7	64853	50895
Pike	PA	103	7.1	4.3	12.5	2103	1916
Potter	PA	16	11.5	5.7	12.8	2126	1997
Schuylkill	PA	189	10.3	5.3	16.2	4309	6275
Snyder	PA	115	8.5	9.3	8.4	2262	1613
Somerset	PA	73	12.3	7.5	10	3983	4702
Sullivan	PA	14	10.8		-1111.1	523	1048
Susquehanna	PA	51	11.3	7	14.3	2272	2328
Tioga	PA	37	12	5.9	11.4	2202	2142
Union	PA	136	9.5	5	11.5	1994	1744
Venango	PA	83	13.1	7	11.6	3002	3305
Warren	PA	48	10.5	7.1	9.9	2268	2495
Washington	PA	241	9.7	5.8	11	6254	7387
Wayne	PA	69	10.8	1.6	12.4	2459	2896
Westmoreland	PA	359	9.4	6.3	11.4	10299	13277
Wyoming	PA	71	9.9	5.2	12.1	1536	1311
York	PA	452	7.5	5.3	10.8	14033	9887
