County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Beaver	UT	2	10.1	7.4	17.3	1167	558
Box Elder	UT	8	8.4	3.3	15	3976	1441
Cache	UT	84	11.4	5.2	12.9	11237	2133
Carbon	UT	13	13.5	5.7	28	3107	1933
Daggett	UT	1	6.2		-1111.1	102	48
Davis	UT	881	7.4	3.4	13.6	15592	3524
Duchesne	UT	5	14.3	5.7	26.8	2717	995
Emery	UT	2	11.6	5.8	17.6	1695	706
Garfield	UT	1	10	9.7	-1111.1	679	392
Grand	UT	2	13.9	7.8	23.8	1152	631
Iron	UT	12	14.5	6.2	14.5	3841	888
Juab	UT	3	9.7	5.9	14.6	1640	590
Kane	UT	2	9	6.7	-1111.1	837	530
Millard	UT	2	11.7	6.9	24.7	1922	1038
Morgan	UT	13	4.7	4.4	16	1003	301
Piute	UT	2	13.8		-1111.1	188	169
Rich	UT	2	7.7		-1111.1	266	117
Salt Lake	UT	1286	9.8	5.3	15.9	54909	15734
San Juan	UT	2	22.6	4.7	13.5	2647	723
Sanpete	UT	15	13.5	5	14.6	3678	1547
Sevier	UT	10	11.8	6.6	21.4	3139	1547
Summit	UT	19	5.6	2.5	10.8	2405	472
Tooele	UT	7	7.7	5.1	13.6	4938	1139
Uintah	UT	6	12.4	5.5	20.4	2366	898
Utah	UT	222	11.2	5.7	11.3	31601	5094
Wasatch	UT	16	6.3	5.3	15.1	2863	836
Washington	UT	49	11.4	5.6	18.9	9546	3538
Wayne	UT	1	11.5		-1111.1	408	211
Weber	UT	366	9.9	5.6	17.9	12065	4158
