County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Accomack	VA	87	15.4	8.8	11.1	2265	2297
Albemarle	VA	126	7.6	7.1	10.6	5048	2936
Alleghany	VA	38	11.1	7.8	11.7	1863	2221
Amelia	VA	34	9.7	9.7	9.7	1379	1153
Amherst	VA	68	11.1	3.6	13.1	1653	1525
Appomattox	VA	42	12.4	9.2	11.9	1592	1390
Arlington	VA	7575	7.4	4.2	7.6	8541	3244
Augusta	VA	72	7.7	7	11.4	3430	2608
Bath	VA	9	8		-1111.1	443	635
Bedford	VA	87	8	4.4	14.4	2962	2331
Bland	VA	19	12.3	5.5	26	607	725
Botetourt	VA	59	6.3	10	15.6	1496	1187
Brunswick	VA	32	17.8	12.9	11.5	1816	2035
Buchanan	VA	49	21.6	7.2	25.4	1258	1474
Buckingham	VA	28	17.2	8.3	10.9	1346	1463
Campbell	VA	104	11.6	7.1	9.2	3107	2248
Caroline	VA	48	10	10.4	13.8	2898	2054
Carroll	VA	62	13.9	6.3	11.5	1431	1574
Charles City	VA	39	10.4	10.1	-1111.1	769	665
Charlotte	VA	26	16	4.6	10.5	1472	1677
Chesterfield	VA	679	6.7	6	11.3	10210	4643
Clarke	VA	80	6.7	2.8	15.5	1209	1246
Craig	VA	16	9.6	10.5	18.4	532	474
Culpeper	VA	112	9.2	4.6	17.7	2389	1573
Cumberland	VA	31	14.2	4.4	14.7	1010	910
Dickenson	VA	49	18.4	10	19.3	1684	1873
Dinwiddie	VA	50	10.4	4.6	20.5	2455	2143
Essex	VA	41	12.5	12.2	16.7	1089	1245
Fairfax	VA	2548	5.8	4.7	7.3	43498	12822
Fauquier	VA	100	5.8	4	11	3504	2086
Floyd	VA	38	11.4	4.6	11.8	1446	1431
Fluvanna	VA	86	6.5	3.7	11	2342	1418
Franklin	VA	73	11.5	8.3	15.2	2637	2158
Frederick	VA	167	6.7	4.3	11.5	3935	2072
Giles	VA	48	10.8	9.3	19	2006	2050
Gloucester	VA	174	9	8.1	11.6	1979	1513
Goochland	VA	68	7.2	7.4	9.5	1785	1381
Grayson	VA	37	14.9	6.6	15.9	1698	2047
Greene	VA	111	8	5.4	12.3	2259	1020
Greensville	VA	38	16.2	9.9	10.8	1118	948
Halifax	VA	44	16.3	8.1	13.1	2215	2396
