County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Apache	AZ	6	27.5	8.1	22.2	6317	2384
Cochise	AZ	20	16.3	9.2	18.3	5121	3325
Coconino	AZ	7	15.6	5.6	19.2	9383	2809
Gila	AZ	11	17.1	8.9	21.7	3389	3150
Graham	AZ	7	20.5	6.5	13.9	2301	1323
Greenlee	AZ	4	11.2	6	19.9	1314	601
La Paz	AZ	4	17.2	12	23	2045	1954
Maricopa	AZ	395	12.8	6.4	14	171452	70409
Mohave	AZ	14	14.9	6.4	26.2	6386	6444
Navajo	AZ	11	21.4	8	26.2	8411	3558
Pima	AZ	101	14.3	7	16.2	37459	23024
Pinal	AZ	43	14.6	7.6	17.8	8189	4925
Santa Cruz	AZ	34	19.2	4.4	10.3	3867	1061
Yavapai	AZ	24	12	6	22.7	5523	6164
Yuma	AZ	33	18	6.8	7.7	9305	3345
