County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Alachua	FL	256	16.1	11	16.3	7354	4724
Baker	FL	42	13.7	8.9	11.9	3298	1767
Bay	FL	212	12.8	12.6	15.4	5960	4363
Bradford	FL	96	16.2	10.4	13.4	3089	2622
Brevard	FL	522	10.1	6.5	17.5	14613	16256
Broward	FL	1475	12.5	6.5	13.3	67007	48248
Calhoun	FL	23	18.1	9.8	13.1	1460	1389
Charlotte	FL	227	9.3	7.1	18.7	3079	6574
Citrus	FL	230	12.4	6.2	18.7	2587	6345
Clay	FL	285	7.4	7.6	16.6	5904	3518
Collier	FL	152	9.6	5.5	11.7	10814	7318
Columbia	FL	80	15.6	10.9	12.6	3868	3210
DeSoto	FL	56	18.3	7.7	9	2202	1504
Dixie	FL	21	18.6	11	21.3	1581	1475
Duval	FL	1068	12.8	10.3	14.5	36661	20511
Escambia	FL	448	15.7	11.4	12.5	11766	8692
Flagler	FL	158	8.2	7.1	12.1	2240	3281
Franklin	FL	19	14.6	19.6	12.2	1074	1249
Gadsden	FL	90	18	15.6	9.6	3531	2273
Gilchrist	FL	47	14.2	10	19.7	1658	1391
Glades	FL	15	13.1	4.2	15.6	805	1009
Gulf	FL	25	15.4	13.6	14.3	1307	1534
Hamilton	FL	27	21.8	8.8	14.1	1615	1235
Hardee	FL	44	20.6	5.3	10.5	4521	2056
Hendry	FL	34	18	6.7	10.7	3280	1366
Hernando	FL	331	12.1	6.5	21.3	3708	6709
Highlands	FL	93	13.9	9.8	15	4367	6483
Hillsborough	FL	1077	13	8.7	12.6	45253	26268
Holmes	FL	40	18.6	6.8	12	2126	2204
Indian River	FL	256	10	6.7	11.2	5541	7771
Jackson	FL	53	16.2	5.5	11.6	2718	2595
Jefferson	FL	24	16.2	10.9	9.8	1513	1441
Lafayette	FL	15	18.9	6.9	-1111.1	786	570
Lake	FL	291	10.2	6.4	15.5	7936	9180
Lee	FL	678	10.2	6.5	14.3	16382	16162
Leon	FL	369	14	11	10.7	9002	4664
Levy	FL	34	16.3	7	22.3	1998	2194
Liberty	FL	9	17.2	8.3	-1111.1	786	548
Madison	FL	28	18.3	10.8	10.3	2157	1943
Manatee	FL	414	10.8	7.2	14.5	9920	10038
Marion	FL	192	14	9	17.1	8844	10938
Martin	FL	251	9.2	8.6	15.5	3594	4937
Miami-Dade	FL	1221	18.9	5.9	9.1	97091	55624
Monroe	FL	77	10.2	5.1	17.7	3752	3584
Nassau	FL	99	8.9	8.3	12.9	3608	2686
Okaloosa	FL	195	9.9	9.1	14.1	7385	4235
Okeechobee	FL	51	15	6	18.6	2645	1870
Orange	FL	1127	13.2	7.5	9.9	43304	19432
Osceola	FL	175	13.1	6.5	14.6	8747	4251
Palm Beach	FL	643	10.9	7.4	12.5	42293	40726
Pasco	FL	576	11.9	6.6	18.7	11773	16150
Pinellas	FL	3315	12.1	7.6	16.3	27592	37641
Polk	FL	290	14	8.4	13	20747	15831
Putnam	FL	102	18.7	9.8	16.7	4581	4478
St. Johns	FL	265	8.1	6.5	13.2	4160	3529
St. Lucie	FL	422	12.9	5.7	14	6964	7078
Santa Rosa	FL	141	10	5.8	15	4665	2812
Sarasota	FL	641	8.4	5.1	17.1	8618	14238
Seminole	FL	1303	9.1	5.5	13	13633	8050
Sumter	FL	118	13.1	11	12.7	2271	3368
Suwannee	FL	56	16.4	12.4	18	2332	2237
Taylor	FL	19	16.7	8.1	18.4	2326	2099
Union	FL	62	18	7.1	17	1377	1603
Volusia	FL	444	12.2	5.7	17.2	14006	17854
Wakulla	FL	47	11	9.9	11.2	2519	1705
Walton	FL	48	13.4	5.5	17.1	2361	2181
Washington	FL	38	17.1	10.1	14.6	2292	2272
