County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Appling	GA	35	17	13.5	8.9	2538	1731
Atkinson	GA	24	19.5	8.7	14.8	1624	705
Bacon	GA	36	17.9	5.4	10.1	1450	1204
Baker	GA	12	19.6		-1111.1	416	361
Baldwin	GA	175	17.6	14.9	12.7	2617	1972
Banks	GA	69	12.3	5.2	14.7	1670	1037
Barrow	GA	370	10.1	5.8	12.7	4299	1847
Bartow	GA	194	10.9	6.6	12.1	7175	3175
Ben Hill	GA	69	19.3	12.2	10.1	2808	2047
Berrien	GA	37	16.8	9.5	17.3	2435	1670
Bibb	GA	620	18.9	13.3	11.7	7609	4984
Bleckley	GA	56	15.3	11.6	20.1	1540	1216
Brantley	GA	35	15.9	5.8	12.4	1198	1195
Brooks	GA	33	20.1	9.5	12.8	1904	1975
Bryan	GA	65	10	5.2	14.8	3754	1423
Bulloch	GA	90	18.9	12.7	11.9	3465	1978
Burke	GA	28	21.7	11.5	11.4	3768	2283
Butts	GA	113	12.5	10.4	14.3	2715	1765
Calhoun	GA	21	24.7	12.3	-1111.1	900	709
Camden	GA	73	10.8	7.6	11.1	3827	981
Candler	GA	42	21.5	13	17	1525	1196
Carroll	GA	211	12.5	7.4	13.7	7420	3901
Catoosa	GA	375	10.6	5.9	10.8	3568	2233
Charlton	GA	14	19	11.9	9.8	1314	931
Chatham	GA	544	16.8	10.7	10.3	10951	6806
Chattahoochee	GA	59	14.5	8.1	16.4	2367	347
Chattooga	GA	85	14.6	11.1	11	3258	2762
Cherokee	GA	435	6.4	4.6	12.1	8121	2518
Clarke	GA	865	18.7	9.4	9.2	6806	3222
Clay	GA	17	24.5	7.1	-1111.1	601	497
Clayton	GA	1879	13.9	10.2	11.5	13391	4067
Clinch	GA	9	20.5	10.7	-1111.1	1167	756
Cobb	GA	1952	9.6	6.4	9.2	31600	9967
Coffee	GA	66	19.1	14.6	8	3212	1654
Colquitt	GA	80	19.6	12.7	12	3384	2241
Columbia	GA	358	6.8	5.9	11	6271	2689
Cook	GA	71	18	8.6	13	2349	1659
Coweta	GA	248	9.4	6.7	10.2	7499	3247
Crawford	GA	40	14.4	11.2	16.3	1310	896
Crisp	GA	80	23.1	14.8	11.5	3486	2486
Dade	GA	92	11.9	5.3	11.1	1888	1286
Dawson	GA	93	9.2	6.9	7.3	2347	976
Decatur	GA	48	20.9	10.8	9.4	2126	1527
DeKalb	GA	2528	13.2	9.2	9.7	32375	11887
Dodge	GA	39	18.1	8.2	12	2405	2159
Dooly	GA	30	21.1	9.4	13.5	1766	1193
Dougherty	GA	288	21.6	9.7	10	7864	4352
Douglas	GA	566	10	5.8	14	7237	3181
Early	GA	24	23.3	11.9	10.7	1864	1477
Echols	GA	11	19.3		-1111.1	193	211
Effingham	GA	98	9.9	8.9	14.2	2709	1331
Elbert	GA	56	16.1	6.7	13.4	2635	2334
Emanuel	GA	32	21.8	13	16	3242	2524
Evans	GA	62	20.6	10	14.6	1641	1115
Fannin	GA	57	13.2	10.8	17.9	2246	2278
Fayette	GA	529	5.2	4.6	8.3	4595	2759
Floyd	GA	184	15	8.1	13.9	6665	4948
Forsyth	GA	622	5.7	5.2	14.1	9882	2858
Franklin	GA	82	14.6	6.7	18.4	2616	2266
Fulton	GA	1732	16.2	8.7	8.7	40860	18471
Gilmer	GA	64	12.9	7.9	17.5	3130	1974
Glascock	GA	19	13.7		-1111.1	320	338
Glynn	GA	170	14.9	9.7	10.5	4849	3555
Gordon	GA	141	12.1	9.4	14.1	3932	1945
Grady	GA	53	19	12.8	14.9	3344	2482
Greene	GA	40	17.8	12.2	10.4	1986	1551
Gwinnett	GA	1678	8.2	6.5	9.6	34815	8012
Habersham	GA	142	12.1	7.6	13.2	2761	1713
Hall	GA	421	12	8.2	13.7	8676	3176
