County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Adair	IA	14	8.5	3.1	-1111.1	738	1168
Adams	IA	10	9.8		-1111.1	438	612
Allamakee	IA	23	9.2	7.1	10.5	1717	1668
Appanoose	IA	28	13.6	4.3	11.7	1537	1801
Audubon	IA	15	8.5	3.4	-1111.1	673	936
Benton	IA	38	6.5	2.6	8	1532	1166
Black Hawk	IA	222	11.5	6.5	8.4	4748	3384
Boone	IA	47	7.6	6.5	10.7	1537	1454
Bremer	IA	54	6.3	3.3	13	2377	2235
Buchanan	IA	37	8.8	6.4	12.9	2980	2082
Buena Vista	IA	35	9.5	3.7	7.4	2420	2102
Butler	IA	26	7.9	4.2	10.6	1580	1951
Calhoun	IA	18	9.9	1.1	-1111.1	1037	1570
Carroll	IA	37	7.6	5.3	8.8	2546	2363
Cass	IA	25	10.4	4.3	11.1	1530	1979
Cedar	IA	31	5.8	3.4	12.9	1939	1779
Cerro Gordo	IA	79	9	4.7	11.1	2553	2604
Cherokee	IA	21	8.1	2.6	10.2	1306	1639
Chickasaw	IA	25	7.8	5.4	12.8	1461	1464
Clarke	IA	21	9.5	5.2	13.1	1039	981
Clay	IA	30	8.4	5.6	10.7	2004	1823
Clayton	IA	24	8.7	6.2	16.4	1987	2231
Clinton	IA	72	10.4	6.8	11.5	2957	2726
Crawford	IA	24	9.9	6.9	6.5	2055	1715
Dallas	IA	88	5.2	6.8	9.3	2793	1572
Davis	IA	17	11.3	5.8	-1111.1	1170	968
Decatur	IA	16	14.4	7.2	-1111.1	950	1041
Delaware	IA	31	8.2	7.2	8.1	2225	1562
Des Moines	IA	98	11.4	5.8	12.9	2572	2162
Dickinson	IA	44	6.5	6.2	13.2	1599	1831
Dubuque	IA	151	8.4	5.4	10.9	5934	4195
Emmet	IA	27	8.7	6.1	8.4	1259	1358
Fayette	IA	29	10.8	5.2	8.1	2432	2575
Floyd	IA	33	9.5	3.4	12.6	1926	2066
Franklin	IA	18	8.1	2.8	-1111.1	1220	1373
Fremont	IA	15	9.3	7.8	-1111.1	847	1130
Greene	IA	18	9.2	9.1	14	1092	1364
Grundy	IA	25	5.2	6.4	12.5	1203	1339
Guthrie	IA	20	8.3	1.7	15.6	1334	1426
Hamilton	IA	28	7.2	5.7	8.3	1944	1740
Hancock	IA	21	6.8	4.5	10.3	1240	1291
Hardin	IA	32	8.7	4.7	9.9	2152	2492
Harrison	IA	23	8.6	5.7	13.1	1741	1978
Henry	IA	47	9.1	9.9	5.2	2368	2006
Howard	IA	20	9.3	6	12.3	1094	1303
Humboldt	IA	23	8.3	3	20.3	1104	1221
Ida	IA	17	8.7	10.6	-1111.1	843	1065
Iowa	IA	27	6.1	5.4	10.7	1881	1700
Jackson	IA	32	9.9	8	16.4	2363	2198
Jasper	IA	52	7.4	5.3	8.7	2272	1758
Jefferson	IA	37	11.2	3.5	18.7	1580	1491
Johnson	IA	191	10.7	2.8	8.1	4329	1565
Jones	IA	36	8.8	7.6	11	2106	1827
Keokuk	IA	19	10	2.5	12.3	1353	1351
Kossuth	IA	17	9.1	7.3	-1111.1	1713	2011
Lee	IA	71	11.2	7.7	16.2	2084	2185
Linn	IA	277	7.8	5.5	10.8	8352	4408
Louisa	IA	29	8.9	3.9	12.4	1685	1123
Lucas	IA	22	11.6	6.2	15	1094	1149
Lyon	IA	20	7.3	7.4	-1111.1	1523	1234
Madison	IA	27	6.8	9.4	14.7	1763	1530
Mahaska	IA	39	10.5	6.8	8.6	2781	2189
Marion	IA	60	7.8	4.5	7.5	2013	1640
Marshall	IA	69	10.6	4.7	10.9	2781	2508
Mills	IA	35	8.3	4	11.4	1696	1318
Mitchell	IA	23	8.7	9.4	11.7	1318	1401
Monona	IA	14	10.4	3.2	14.8	1075	1631
Monroe	IA	18	10.1	4.9	23	905	1034
Montgomery	IA	27	10.1	9.5	15.7	1420	1694
Muscatine	IA	97	9.5	3.2	8.1	3153	1938
O'Brien	IA	25	7.8	7.6	10.4	1758	1910
Osceola	IA	17	6.8	9.8	15.6	783	849
Page	IA	30	11.4	13.2	11.6	1772	2329
Palo Alto	IA	17	9	7.2	-1111.1	1074	1383
Plymouth	IA	29	6.4	6.5	9.1	3060	2427
Pocahontas	IA	14	9.6	4.7	14.4	729	1157
Polk	IA	704	8.6	5.8	11.3	18625	8506
Pottawattamie	IA	94	10.2	7.1	13.2	6063	4290
Poweshiek	IA	32	9	4.5	10.6	1982	2190
Ringgold	IA	10	12.4	3.8	-1111.1	560	833
Sac	IA	18	9	7.2	12.5	1230	1655
Scott	IA	352	10.3	5.5	10.9	6723	4001
Shelby	IA	21	7.8	7.3	11.6	1383	1610
Sioux	IA	42	6.5	3.6	7.2	2252	1279
Story	IA	140	9.8	4.4	6.1	4584	2328
Tama	IA	25	8.9	7.1	17	2358	2115
Taylor	IA	12	10.7	6	11.3	748	960
Union	IA	28	11.1	10.1	17.9	1410	1578
Van Buren	IA	16	11.2	6.3	15.8	897	1011
Wapello	IA	83	12.2	4.5	12.4	2209	2107
Warren	IA	75	6	7.2	14.2	2492	1677
Washington	IA	38	7.7	7.3	11.5	3002	2321
Wayne	IA	13	12.5	9.2	-1111.1	732	1084
Webster	IA	55	10.8	8.2	11	2439	2345
Winnebago	IA	28	8.3	5.2	10.3	1283	1418
Winneshiek	IA	31	7.8	3.8	4.5	2064	1842
Woodbury	IA	118	11.2	7.6	14	4839	2816
Worth	IA	19	7.2	8	20.9	839	1031
Wright	IA	24	8.3	6.2	8.9	1600	1954
