County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Adams	IL	78	11.2	6.6	9.8	4087	4194
Alexander	IL	38	22.2	13.1	12.6	1376	1296
Bond	IL	47	10.8	8.5	8.5	1959	1761
Boone	IL	179	7.7	5.5	7	3117	1514
Brown	IL	22	11.6	1.9	-1111.1	580	587
Bureau	IL	41	8.6	5.6	9.6	2142	2090
Calhoun	IL	20	8.6		-1111.1	493	656
Carroll	IL	36	9.8	11	13	1733	2066
Cass	IL	37	10.5	7.8	9.6	1843	1611
Champaign	IL	185	12.6	8.6	9.1	6883	3592
Christian	IL	50	10.5	6.6	15.5	1984	2164
Clark	IL	34	10.3	4.7	12.1	1939	2164
Clay	IL	30	11.8	5	9.5	1759	1892
Clinton	IL	76	7.4	5.6	13.2	1978	1649
Coles	IL	100	13.2	6.9	10.2	2904	2586
Cook	IL	5608	14.5	8.5	7.5	247949	134307
Crawford	IL	45	11.7	6.3	8.2	2144	2441
Cumberland	IL	32	10.1	6	12.5	1320	1227
DeKalb	IL	154	9.3	8.1	8	5686	3018
De Witt	IL	42	9.9	8.2	13	2060	1921
Douglas	IL	48	8.1	5.6	11.4	2925	2010
DuPage	IL	2785	5.9	6.6	7.3	39133	17092
Edgar	IL	31	11.6	8.7	12.4	2193	2565
Edwards	IL	31	9.2	8.9	-1111.1	745	872
Effingham	IL	72	8.9	8.7	8.4	2305	1677
Fayette	IL	30	13.1	6.1	10.7	2534	2499
Ford	IL	29	8.2	10.1	6.7	1752	2059
Franklin	IL	96	14.8	11.4	12.5	2375	2869
Fulton	IL	44	11.3	5.4	11.3	2052	2418
Gallatin	IL	19	15.8	5	-1111.1	676	916
Greene	IL	27	12.2	5	14.1	1794	1884
Grundy	IL	104	6.1	5.9	7.3	2553	1628
Hamilton	IL	19	12.2	7.5	-1111.1	909	1086
Hancock	IL	24	9.8	4.8	11	2163	2374
Hardin	IL	26	14.8		-1111.1	459	697
Henderson	IL	21	10.2	4.3	12.3	793	874
Henry	IL	61	8.3	8.1	10.5	2849	2711
Iroquois	IL	27	9.9	5.1	11.3	1773	1958
Jackson	IL	99	19.3	8.6	7.9	3372	2379
Jasper	IL	20	10.1	9.4	-1111.1	1192	1089
Jefferson	IL	71	13.7	5.9	9.5	2358	2104
Jersey	IL	61	8.4	5.6	14	2390	2251
Jo Daviess	IL	38	7.6	4.1	11.5	2433	2198
Johnson	IL	38	12.7	8.7	13.4	1140	1204
Kane	IL	926	7.4	6.5	8.4	24712	7572
Kankakee	IL	160	11.3	9.5	10.2	4620	3287
Kendall	IL	248	4.1	7	10.5	4870	1570
Knox	IL	74	12.7	7.1	10.9	3115	3540
Lake	IL	1570	6.9	5	7.6	31544	11514
La Salle	IL	99	10.2	5.7	9.4	4218	3756
Lawrence	IL	43	12.5	9	11.9	1617	2490
Lee	IL	49	8.8	6.5	15.2	1851	1956
Livingston	IL	38	9.7	7.1	9.3	2546	2061
Logan	IL	50	10.5	5.4	7.7	1668	1719
McDonough	IL	54	15.9	6.7	7.5	1484	1491
McHenry	IL	504	4.5	4	6.4	12521	4838
McLean	IL	134	9.4	9.2	9.8	6277	3202
Macon	IL	190	13.5	8.1	8.4	4296	3538
Macoupin	IL	57	10.3	6.1	12.7	2787	3027
Madison	IL	365	10.6	7.8	13.6	10077	7994
Marion	IL	70	13.6	6.6	18.7	2589	2598
Marshall	IL	34	7.9	8.6	-1111.1	1457	1659
Mason	IL	29	11	8.2	15.4	1916	1986
Massac	IL	64	13.2	3.5	14.5	1923	2216
Menard	IL	41	8.5	5.5	9.8	1395	1216
Mercer	IL	30	8.7	4.8	6.2	1848	1788
Monroe	IL	80	4.1	5.2	-1111.1	1737	1214
Montgomery	IL	43	12.5	1.8	22.8	1700	1863
Morgan	IL	63	11.7	6.3	8	2065	2064
Moultrie	IL	43	8.4	6.6	12	1854	2022
Ogle	IL	72	8	6.4	11.2	2973	2317
Peoria	IL	294	13.4	8.3	9.9	7793	5362
Perry	IL	52	13.3	5.5	14.7	2435	2580
Piatt	IL	38	6.1	6.1	-1111.1	1839	1547
Pike	IL	21	12.5	2.9	13.1	1917	2242
Pope	IL	11	14		-1111.1	400	466
Pulaski	IL	34	19.8	14	-1111.1	954	1058
Putnam	IL	38	6.5	8.4	-1111.1	668	542
Randolph	IL	57	11.4	11.7	14.4	1877	1948
Richland	IL	44	12	7.8	10.4	1993	1933
Rock Island	IL	346	11.6	6	11.7	5817	4418
St. Clair	IL	392	14.5	9.7	9.3	11014	7826
Saline	IL	68	15	11.2	12.1	1524	2097
Sangamon	IL	222	10.1	9.2	10.9	7586	5430
Schuyler	IL	16	9.5	5.5	15.3	803	949
Scott	IL	22	9.6	5.4	-1111.1	627	628
Shelby	IL	29	9.4	7.5	7.8	2566	2581
Stark	IL	21	9.2	8.9	17.8	759	876
Stephenson	IL	85	10.2	7.5	9.2	2950	2608
Tazewell	IL	200	8.1	7.1	15.4	4784	3804
Union	IL	44	13.7	4.7	12.5	2099	2528
Vermilion	IL	92	14	10.2	9.9	5681	4857
Wabash	IL	56	11.4	7.2	-1111.1	1389	1422
Warren	IL	32	11	3.7	8.3	2140	2133
Washington	IL	27	7.2	6	9.5	1640	1710
Wayne	IL	24	12	9.6	13.9	1948	2109
White	IL	31	12	1.4	10.4	1623	2348
Whiteside	IL	87	9.4	5.3	9.5	3750	3107
Will	IL	768	6.7	6.2	9.2	27088	9565
Williamson	IL	150	13.6	5.5	11.9	3628	3675
Winnebago	IL	562	12.3	8.5	10.1	11909	7470
Woodford	IL	71	6	7.5	7.1	2144	1719
