County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Adams	IN	100	9.9	6.5	6.4	3081	1477
Allen	IN	523	10.2	7.2	13.2	15756	7927
Bartholomew	IN	181	8.3	7.7	12.7	5207	3155
Benton	IN	22	7.5	3.8	-1111.1	1411	960
Blackford	IN	84	9.2	10.2	10.2	1733	1536
Boone	IN	123	5.8	7.1	14.9	3218	2125
Brown	IN	49	8.2	6.9	12.6	1328	1239
Carroll	IN	55	7.5	4.1	13.5	2457	1754
Cass	IN	97	9.7	7.3	10.9	2874	2152
Clark	IN	271	9.4	6.1	11.5	6587	4855
Clay	IN	76	9.6	9.6	15.5	1776	1550
Clinton	IN	84	9.1	9.4	12.5	2668	1810
Crawford	IN	37	12.9	6.3	17.2	1245	1083
Daviess	IN	71	12.4	7.5	12.8	2414	1534
Dearborn	IN	161	6.8	7.4	11.6	3227	1891
Decatur	IN	68	9	10.9	8	1926	1145
De Kalb	IN	115	7	7	11.4	2877	1708
Delaware	IN	296	13.4	11	12.4	4015	3520
Dubois	IN	95	5.6	6.3	17.2	2684	1833
Elkhart	IN	421	9.5	7.5	8.5	9309	4252
Fayette	IN	116	10.4	7.6	12.7	1707	1537
Floyd	IN	486	9.2	5.3	10.6	4326	3460
Fountain	IN	44	9.3	10	12.2	2343	2121
Franklin	IN	60	8	8.8	10.4	2813	1754
Fulton	IN	56	9.5	11.8	11.5	2630	2149
Gibson	IN	68	8.1	6.6	12.7	1975	1734
Grant	IN	170	12.5	9.9	14.1	4325	4018
Greene	IN	62	10.9	9.9	12.6	1923	1777
Hamilton	IN	605	3.6	6.4	9.5	10229	2914
Hancock	IN	206	5	3.9	13.9	3872	2150
Harrison	IN	76	8.1	2.7	8.9	2222	1504
Hendricks	IN	312	4.6	5.3	10.3	7017	3510
Henry	IN	120	9.5	7.3	11.5	2863	2744
Howard	IN	290	10.3	7.2	10.1	5972	4477
Huntington	IN	100	7.6	4.1	7.2	2425	1917
Jackson	IN	83	8.8	5	10	2975	2071
Jasper	IN	57	7.4	4	8.7	1999	1276
Jay	IN	56	10.9	9.1	15.3	3191	2317
Jefferson	IN	90	10.3	7.2	14.2	1809	1563
Jennings	IN	75	9.8	6.6	9.5	1964	1222
Johnson	IN	401	7	5.9	10.5	4901	2976
Knox	IN	74	13.7	9	14	2223	2325
Kosciusko	IN	142	7.5	7.9	8.7	5567	3026
Lagrange	IN	97	7.9	6.2	10.7	3571	1104
Lake	IN	993	12.7	9.3	10.8	20729	14436
La Porte	IN	185	9.9	7.4	11.1	4066	3114
Lawrence	IN	103	9.7	10.5	12.1	2864	2414
Madison	IN	288	11	10.6	14.1	4909	4396
Marion	IN	2178	12.5	8.5	12.4	43869	22658
Marshall	IN	106	7.5	3.8	10.1	3417	2070
Martin	IN	31	9.9	6.1	10.6	1450	1071
Miami	IN	95	10	6.1	8.1	2286	1607
Monroe	IN	308	12.4	7.2	9.5	3747	2247
Montgomery	IN	76	9.2	5.7	16.2	2440	1870
Morgan	IN	172	7.8	6.4	13.1	4558	2720
Newton	IN	36	8.2	6	7.5	1636	1371
Noble	IN	115	8.1	8	12.5	3493	1915
Ohio	IN	68	7	3.6	-1111.1	611	555
Orange	IN	49	12	10.1	12.3	2534	2130
Owen	IN	59	10.3	6	12.3	2410	1907
Parke	IN	39	11.3	12.4	20.1	1780	1667
Perry	IN	50	9.4	11	12.7	2109	1921
Pike	IN	38	9.2	12.7	13.8	1500	1411
Porter	IN	377	6.8	8	14.2	5518	3482
Posey	IN	66	7.6	9.2	12.2	1300	1149
Pulaski	IN	32	9.5	10.5	14.4	1717	1450
Putnam	IN	77	9.1	5.8	12	2056	1542
Randolph	IN	59	10.9	8.9	10.3	1691	1435
Ripley	IN	62	8.1	1.5	12.3	1978	1234
Rush	IN	44	8.6	3.1	9.2	2511	1914
St. Joseph	IN	582	11.8	7.4	11.8	11339	7252
Scott	IN	125	11.8	5.7	12.3	3085	2339
Shelby	IN	106	8.5	8.9	12.8	2916	1909
Spencer	IN	51	7.6	6.7	9.4	2645	1816
Starke	IN	74	11.7	6.7	14.1	3014	2551
Steuben	IN	109	8.1	8	10.1	2130	1370
Sullivan	IN	49	11.8	8.8	20.4	2521	2603
Switzerland	IN	44	10.9	3.1	20.7	1064	930
Tippecanoe	IN	308	11.9	9	9.1	5871	2956
Tipton	IN	63	6.7	7.3	7.9	1993	1631
Union	IN	45	9.1	4.7	-1111.1	947	673
Vanderburgh	IN	738	11.8	9.4	16	6950	5647
Vermillion	IN	64	9.2	6.8	18.5	2130	2193
Vigo	IN	254	13.7	7.5	13.3	3860	3584
Wabash	IN	82	8.7	8.3	12.5	2050	1956
Warren	IN	24	7.2	5.9	14.6	939	886
Warrick	IN	147	5.8	4.3	10.2	3219	2245
Washington	IN	54	10.5	3.4	10.3	1742	1302
Wayne	IN	171	11.7	10.3	12.6	4446	4005
Wells	IN	76	6.8	3.5	8.8	1714	1293
White	IN	48	8.3	5.7	14.9	1766	1330
Whitley	IN	96	6.2	5.7	10.3	2115	1405
