County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Acadia	LA	91	19.9	10.2	11.1	4628	3026
Allen	LA	33	20.5	6.3	10.1	3331	2336
Ascension	LA	310	11.4	7.2	10.4	6780	2595
Assumption	LA	68	17.9	12.7	10.8	3071	1956
Avoyelles	LA	51	23	7.9	15.2	3148	2440
Beauregard	LA	30	15.3	6.5	14.1	2169	1555
Bienville	LA	19	20.6	7.3	7.5	2003	2180
Bossier	LA	126	13.4	7.6	12.3	7655	3992
Caddo	LA	285	19.7	13.3	10	11001	8038
Calcasieu	LA	173	16.3	10.5	13	8229	5219
Caldwell	LA	20	19	9.4	9.1	1291	1244
Cameron	LA	7	11.8	8.4	-1111.1	1084	718
Catahoula	LA	15	22.4	11	-1111.1	1401	1223
Claiborne	LA	22	22.3	12.2	12.1	1865	2085
Concordia	LA	28	23.9	9.2	8.9	3051	2171
De Soto	LA	30	19.1	12.5	-1111.1	1839	1477
East Baton Rouge	LA	903	16.4	10.2	10	17566	10081
East Carroll	LA	21	33.9	6.4	12.7	1587	1076
East Feliciana	LA	46	17.7	10.1	7.9	2884	2120
Evangeline	LA	54	24.2	9.3	17.5	2571	1952
Franklin	LA	33	24.2	12	9.2	3239	2779
Grant	LA	30	18.2	7.6	13	2610	1981
Iberia	LA	129	19.7	10.4	11	5889	3285
Iberville	LA	52	20.4	8	-1111.1	2364	1596
Jackson	LA	27	16.9	5.4	10.2	2061	1987
Jefferson	LA	1477	15.7	8.7	12.8	18691	12532
Jefferson Davis	LA	48	17.6	4.9	8.7	2453	1676
Lafayette	LA	732	15.6	9.5	10.3	8771	4290
Lafourche	LA	85	15.3	11	10.6	6079	3641
La Salle	LA	23	17.3	6.5	10.1	1849	1708
Lincoln	LA	89	21.1	8.1	7.8	2731	1663
Livingston	LA	169	11.9	7.7	14.1	7438	3433
Madison	LA	20	28.5	10.3	10	2387	1545
Morehouse	LA	38	23.3	14	12.1	2282	1871
Natchitoches	LA	31	22.1	11.8	12.9	2960	1919
Orleans	LA	2519	25.5	11.7	9.4	21237	15084
Ouachita	LA	243	19.6	10.4	10.2	6754	4134
Plaquemines	LA	34	15.3	5.9	10.5	2023	1098
Pointe Coupee	LA	40	18.5	8.4	11.5	3351	2341
Rapides	LA	97	19.2	14	11	5646	4134
Red River	LA	24	22.3	6.4	-1111.1	1418	1154
Richland	LA	37	23.4	14	9.3	3256	2613
Sabine	LA	27	17.9	10.2	13.8	3144	2747
St. Bernard	LA	141	14.2	8.1	11.5	4222	3761
St. Charles	LA	179	12.5	5.9	13.4	3400	1681
St. Helena	LA	25	21.4	7.9	15.9	1136	967
St. James	LA	86	16.1	11.3	6	3272	1817
St. John the Baptist	LA	212	15.7	9.2	9.2	3481	1557
St. Landry	LA	97	22.9	10.8	13	6854	4523
St. Martin	LA	68	20.1	9.7	12.7	3711	2019
St. Mary	LA	84	20.2	10.1	10.4	4053	2474
St. Tammany	LA	258	10.5	6.2	14.3	8385	4621
Tangipahoa	LA	135	20.8	7.4	11.9	7959	4828
Tensas	LA	10	28.7	6.8	-1111.1	988	876
Terrebonne	LA	86	16.8	9.6	10.5	5078	2491
Union	LA	26	17.5	9.2	9.2	3111	2710
Vermilion	LA	47	18.4	9.6	12.2	4049	2664
Vernon	LA	37	15.3	5.3	12.8	5057	1762
Washington	LA	67	23.3	10.1	10	3266	2723
Webster	LA	69	17.9	11.4	13.8	2708	2755
West Baton Rouge	LA	113	15.4	9.5	9	3185	1683
West Carroll	LA	33	18.9	6.6	8.2	1505	1523
West Feliciana	LA	37	18.4	6.5	11	1227	883
Winn	LA	17	21.1	10.5	8.9	2136	2016
