County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Alcona	MI	17	11.9	6.7	19.7	850	1735
Alger	MI	11	10.1	7.7	14.1	857	1072
Allegan	MI	137	8.4	8.5	10.8	4349	2506
Alpena	MI	53	11.7	6.3	17.3	1578	1740
Antrim	MI	51	9.1	6.9	7.6	2423	2325
Arenac	MI	47	13.5	7.1	13.6	1750	1868
Baraga	MI	10	11.2	4.8	13.9	928	1128
Barry	MI	108	7.3	5.6	13.1	3599	2334
Bay	MI	245	10.6	6	11.7	3865	3314
Benzie	MI	55	7.8	4.2	11.6	1800	1591
Berrien	MI	285	12.3	10	11.1	6301	4800
Branch	MI	92	11.2	8.5	8.6	2957	2047
Calhoun	MI	196	11.6	9.8	11.9	5720	4355
Cass	MI	106	10.8	5.2	14.5	2713	2374
Charlevoix	MI	64	8.7	7.4	12.1	3143	2305
Cheboygan	MI	38	11.5	6	11.7	2760	2821
Chippewa	MI	25	13	6.3	13.5	1920	1554
Clare	MI	56	14.6	11.7	19.1	1713	1886
Clinton	MI	121	5.6	6.9	10	3925	2348
Crawford	MI	27	12.5	15.2	20	1475	1451
Delta	MI	33	10.4	9	13.4	2105	2068
Dickinson	MI	37	9.2	4.3	13.6	1392	1593
Eaton	MI	186	7.8	5.3	9.6	3794	2383
Emmet	MI	72	8	6.8	6.8	1923	1476
Genesee	MI	694	13.3	11.4	11.3	18818	11873
Gladwin	MI	54	12.3	10.4	12.5	2772	2937
Gogebic	MI	15	13.3	8.3	15.9	1488	2617
Grand Traverse	MI	181	7.8	6.1	9.3	4757	3139
Gratiot	MI	74	11.3	6.1	7.6	2461	2149
Hillsdale	MI	79	10	8.5	11.1	3071	2211
Houghton	MI	35	13.5	5.5	11.2	1985	2024
Huron	MI	41	10.8	5	14.3	1805	2311
Ingham	MI	498	12.7	6.6	9.2	11046	5650
Ionia	MI	113	9.4	7	14	4138	2239
Iosco	MI	49	12.7	8	20	1249	1839
Iron	MI	11	11.6	3.3	17.3	1035	2184
Isabella	MI	114	13.2	9.1	11.6	3517	2020
Jackson	MI	232	10.9	7.9	11.8	6099	4480
Kalamazoo	MI	428	12	10.6	10.1	9405	5814
Kalkaska	MI	31	11.2	7.4	12.5	2082	1429
Kent	MI	697	10	8.3	8.5	27754	12128
Keweenaw	MI	4	9.4		-1111.1	202	256
Lake	MI	21	16.9	10.7	19.3	1138	1489
Lapeer	MI	143	7.4	5.8	10.9	5377	3100
Leelanau	MI	64	6.7	5.7	6	1969	1702
Lenawee	MI	136	8	5.6	11	6226	4410
Livingston	MI	319	4.4	4.8	10.1	6017	2883
Luce	MI	8	14.4	8.8	-1111.1	635	768
Mackinac	MI	11	9.8	8.8	10.6	1156	1361
Macomb	MI	1726	7.4	5.7	10.1	30497	21895
Manistee	MI	46	11.1	7.1	22.3	2495	2942
Marquette	MI	36	10.5	4.6	14.1	3051	3168
Mason	MI	59	11.3	9	16.9	1551	1624
Mecosta	MI	76	13.3	6.7	5	2401	1686
Menominee	MI	24	10.7	4.9	14.8	2731	2857
Midland	MI	161	9	7	9.7	5124	3115
Missaukee	MI	27	11.3	7.8	14	1706	1294
Monroe	MI	279	7.3	6.9	13.4	5368	3648
Montcalm	MI	90	10.5	7.6	13	4195	2758
Montmorency	MI	19	12.3	1.2	19.4	924	1485
Muskegon	MI	345	13.4	9.1	8.6	7116	4778
Newaygo	MI	59	11.7	5.1	12.7	3122	2146
Oakland	MI	1392	6.7	6.5	9.8	46556	27118
Oceana	MI	53	13.4	5.6	12.4	3546	2330
Ogemaw	MI	39	13.5	6.4	20.1	2273	2662
Ontonagon	MI	6	10.4	0	25	618	1158
Osceola	MI	42	12.5	6.9	14.3	2874	2213
Oscoda	MI	16	13.9	8.2	17.1	960	1082
Otsego	MI	48	8.8	4.4	12.2	2787	1909
Ottawa	MI	452	6.6	6.8	7.9	10667	4461
Presque Isle	MI	22	10.1	17.7	12.7	1313	1817
Roscommon	MI	50	13.1	9.2	14.9	2090	3496
Saginaw	MI	258	13.4	9.3	9.4	8065	6205
St. Clair	MI	237	8.7	7	11	6174	4424
St. Joseph	MI	125	11.5	7.4	11.9	4613	2921
Sanilac	MI	46	11.7	6.3	10.8	2716	2323
Schoolcraft	MI	7	11.7	9.9	18	916	1141
Shiawassee	MI	135	9.1	6.6	11	4513	3130
Tuscola	MI	72	9.8	7.5	13.6	3447	2631
Van Buren	MI	129	12.2	6.2	12.3	5132	3376
Washtenaw	MI	482	9.6	6.7	7.7	12621	5567
Wayne	MI	3254	16.5	11.2	10.3	88716	59647
Wexford	MI	56	11.3	7.6	11.9	1969	1518
