County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Adams	MS	70	22.3	10.1	12.2	2272	2104
Alcorn	MS	88	16.2	7.9	10.4	2276	2140
Amite	MS	18	18.5	7.6	11.4	1599	1411
Attala	MS	27	20	12.2	12.7	2604	2613
Benton	MS	19	20	13.2	-1111.1	1164	949
Bolivar	MS	44	27.3	12.5	7.4	3192	2140
Calhoun	MS	25	16.9	8.8	11	2044	1833
Carroll	MS	17	16.1	12.9	10.1	1029	930
Chickasaw	MS	38	17.6	10	8.3	3145	2000
Choctaw	MS	23	21.7	8.8	10.4	1143	960
Claiborne	MS	24	25.5	15.5	-1111.1	1727	1115
Clarke	MS	26	18.9	7.5	10.6	2367	1890
Clay	MS	52	20.6	12	9.3	3328	2299
Coahoma	MS	52	28.3	17	12	2827	1783
Copiah	MS	38	21.2	15.9	-1111.1	2136	1452
Covington	MS	49	19.3	13	10.9	2995	2074
DeSoto	MS	287	8.6	8.1	13.4	8850	4121
Forrest	MS	161	20.4	7.8	9.2	5392	3676
Franklin	MS	15	19.5	9.8	19.9	1133	978
George	MS	44	16.1	10.4	13.7	3317	1815
Greene	MS	18	19.8	7.2	7.6	1526	1090
Grenada	MS	54	18.5	10.8	11.5	3101	2876
Hancock	MS	98	15.7	7.7	20.3	2721	2261
Harrison	MS	334	16.5	8.8	18.1	8709	5319
Hinds	MS	287	20.5	12.5	9.7	11627	6266
Holmes	MS	28	32.2	13.8	7.9	3907	2565
Humphreys	MS	25	30.2	13.3	-1111.1	1996	1276
Issaquena	MS	5	29		-1111.1	220	147
Itawamba	MS	44	13.7	7.9	13.3	2699	2623
Jackson	MS	187	15	7.7	16.8	5470	3513
Jasper	MS	27	20.8	8.5	13.4	2736	1871
Jefferson	MS	18	27.9	13.6	11.3	1400	946
Jefferson Davis	MS	32	22.9	11.5	13.7	1971	1581
Jones	MS	95	18.7	8.6	7.7	4988	3490
Kemper	MS	13	19.9	11.5	14.4	1365	1065
Lafayette	MS	65	15.8	11.9	9.7	2265	1486
Lamar	MS	90	13.9	9.3	11.5	3119	1477
Lauderdale	MS	110	18.8	11.2	10.3	5897	4817
Lawrence	MS	31	17.5	9.1	7.7	1828	1404
Leake	MS	39	19.9	13.2	11.4	3343	2436
Lee	MS	175	14.1	9.9	12.2	6087	3668
Leflore	MS	62	29.4	15.5	10.5	3027	2077
Lincoln	MS	58	17.7	7	12	2295	2030
Lowndes	MS	119	19.2	11.4	11.8	4641	2592
Madison	MS	118	13.2	9.7	8.6	6088	4225
Marion	MS	47	21.7	4.8	9.1	1860	1659
Marshall	MS	50	19.1	14.6	7	2601	1780
Monroe	MS	49	16.3	10.9	8.5	2483	1977
Montgomery	MS	29	20.8	18.5	17.4	1678	1483
Neshoba	MS	52	18.6	9	-1111.1	2439	1575
Newton	MS	39	16.9	13.1	15	3281	2503
Noxubee	MS	18	26.8	22.6	-1111.1	2165	1285
Oktibbeha	MS	90	21.4	8.4	7.7	2728	1403
Panola	MS	52	20.9	9.5	10.8	2856	1750
Pearl River	MS	65	18.1	6.3	9.7	3347	2365
Perry	MS	19	18.3	4.8	-1111.1	1825	1169
Pike	MS	96	22.8	7.5	12.2	3209	2219
Pontotoc	MS	57	13.2	6.4	12.9	3634	2460
Prentiss	MS	62	15.2	10.3	14.8	3222	2307
Quitman	MS	23	27.3	8.5	-1111.1	1713	1187
Rankin	MS	170	10.4	8.6	11.9	5320	2482
Scott	MS	47	16	15.1	10.7	2250	1411
Sharkey	MS	14	29.4	4.9	-1111.1	1159	718
Simpson	MS	47	19.7	13.2	18.6	1974	1544
Smith	MS	25	16.4	9.7	11.3	2069	1663
Stone	MS	33	17.3	10.3	16.2	1940	1442
Sunflower	MS	47	30.3	18.4	10	2558	1648
Tallahatchie	MS	22	25.6	12.5	13.7	2191	1567
Tate	MS	66	15	11.9	11.4	3701	2383
Tippah	MS	46	15.7	11.4	8.6	3104	2580
Tishomingo	MS	45	13.9	6.3	18	2282	2573
Tunica	MS	23	22.4	16.6	17.6	1718	1000
Union	MS	64	12.8	8.6	11.2	3596	2567
Walthall	MS	38	22.3	11	18.5	2223	1693
Warren	MS	84	17.6	8.6	15.2	3940	2628
Washington	MS	82	28.4	11.7	7.3	5295	3331
Wayne	MS	26	20.6	10.9	6	3246	2051
Webster	MS	24	18.4	3.9	13.8	1391	1390
Wilkinson	MS	15	27.9	5.9	-1111.1	1319	1302
Winston	MS	33	20	9.7	14	2609	2235
Yalobusha	MS	29	19	6.8	14	1802	1561
Yazoo	MS	31	27	12.8	12.7	2195	1535
