County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Beaverhead	MT	2	15.7	5.6	29.6	1003	818
Big Horn	MT	3	24	7.7	15.7	2454	1044
Blaine	MT	2	22.2	7.3	29.7	1077	670
Broadwater	MT	4	13		27	409	419
Carbon	MT	5	11.2	8.8	11.8	896	935
Carter	MT	0	12.2		-1111.1	126	161
Cascade	MT	29	13.9	8.9	22.5	5370	3801
Chouteau	MT	1	15		-1111.1	454	607
Custer	MT	3	13.9	7.4	27	1367	1459
Daniels	MT	1	11.9		-1111.1	161	293
Dawson	MT	4	12.7	6.3	16.4	889	948
Deer Lodge	MT	12	14.8	6.2	19.5	887	1312
Fallon	MT	2	9.7		-1111.1	274	306
Fergus	MT	3	14.9	8.7	15.8	1184	1633
Flathead	MT	16	12.6	6	23.3	4815	3452
Gallatin	MT	30	11.5	6	15.8	4361	1841
Garfield	MT	0	11.6		-1111.1	170	158
Glacier	MT	5	25.6	8.9	17.7	2386	1125
Golden Valley	MT	1	17.9		-1111.1	126	78
Granite	MT	2	14.9		29.3	258	313
Hill	MT	6	18.1	7.1	17.1	2681	1498
Jefferson	MT	7	9.2	2.5	17.5	922	771
Judith Basin	MT	1	16.2		-1111.1	209	207
Lake	MT	19	19.1	13.4	21.4	1785	1286
Lewis and Clark	MT	17	11.7	7.2	17.9	3312	2343
Liberty	MT	1	13.7		-1111.1	203	223
Lincoln	MT	5	18.3	7.6	18.2	1910	1871
McCone	MT	1	12.7		-1111.1	167	184
Madison	MT	2	11.6	7.6	28.6	590	712
Meagher	MT	1	17.2		-1111.1	239	228
Mineral	MT	3	17.7		32.9	397	366
Missoula	MT	39	14.9	5.4	16.7	5598	3326
Musselshell	MT	2	17.6	13.4	22.7	494	601
Park	MT	6	12.5	4.5	22.3	1744	1501
Petroleum	MT	0	11.9		-1111.1	47	33
Phillips	MT	1	15.9		17.4	487	553
Pondera	MT	4	17.6	10	-1111.1	779	740
Powder River	MT	1	11		-1111.1	174	218
Powell	MT	3	16.2	5.4	23.1	634	692
Prairie	MT	1	12.3		-1111.1	107	168
Ravalli	MT	17	14	7.6	15.8	2098	1683
Richland	MT	4	13.1	4.3	-1111.1	1053	1025
Roosevelt	MT	4	26.2	11	18.4	2013	1051
Rosebud	MT	2	18	14	16.2	1648	755
Sanders	MT	4	17.1	8.5	24.4	1033	1072
Sheridan	MT	2	12.7		26.3	311	614
Silver Bow	MT	46	15.9	4.2	20.4	1906	2139
Stillwater	MT	5	9.4	2.6	-1111.1	841	711
Sweet Grass	MT	2	10.2	15.2	-1111.1	363	386
Teton	MT	3	13.7	3.1	14.1	720	726
Toole	MT	3	14.1		-1111.1	529	550
Treasure	MT	1	12.5		-1111.1	62	71
Valley	MT	1	14.6	4.9	22.2	906	967
Wheatland	MT	1	20.1		-1111.1	264	272
Wibaux	MT	1	12.7		-1111.1	103	175
Yellowstone	MT	52	12.1	7.4	17.2	5282	3541
