County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Alamance	NC	327	11.3	9.5	7.1	5555	3961
Alexander	NC	136	10.4	5.1	18.4	2143	1418
Alleghany	NC	46	15.7	4.4	16.8	981	1355
Anson	NC	48	17.9	15	12.9	3368	2820
Ashe	NC	59	14	12.3	17.9	2517	2859
Avery	NC	71	15	6.5	20.1	1757	1833
Beaufort	NC	56	17.4	12.5	14	3122	2697
Bertie	NC	28	20.6	11.9	6.5	2638	2623
Bladen	NC	38	19.2	10	17.6	2302	1966
Brunswick	NC	104	13.3	6.6	14.1	4269	3677
Buncombe	NC	334	13.4	7.7	12.7	7559	6641
Burke	NC	176	13.6	7.7	17.7	5352	4141
Cabarrus	NC	412	10.2	7.8	10.6	6703	3516
Caldwell	NC	168	13	8.8	12.1	4895	3854
Camden	NC	37	8.6	8.9	14.6	639	650
Carteret	NC	120	11.7	9	19.1	2994	3454
Caswell	NC	56	14.8	14.3	12.5	2484	2409
Catawba	NC	379	10.9	7.6	15.8	6171	3936
Chatham	NC	85	9.6	5.6	7	3365	2431
Cherokee	NC	57	15.3	8.1	15.1	2594	2918
Chowan	NC	84	16.1	9.1	-1111.1	1986	1785
Clay	NC	45	12.7	7.6	19.9	726	1050
Cleveland	NC	212	14.8	10.8	14.4	6287	5006
Columbus	NC	58	20.3	11.5	10.9	3987	3186
Craven	NC	128	13.7	7.2	10.8	7896	4208
Cumberland	NC	467	16.6	10.9	13.9	16032	6135
Currituck	NC	88	9.5	11.1	17.2	1991	1612
Dare	NC	88	7.9	8.8	12.8	1811	1276
Davidson	NC	280	12.7	8.1	11.5	5771	4246
Davie	NC	148	9	12.3	6.9	2196	1714
Duplin	NC	64	17.6	8.7	8.8	3912	2574
Durham	NC	836	14.2	6.2	11.4	11701	5048
Edgecombe	NC	107	19.9	11.4	8.5	3936	3083
Forsyth	NC	796	13.2	8.4	10.2	13793	8288
Franklin	NC	111	12.8	7.1	13.9	3223	2151
Gaston	NC	551	14.2	8.5	17.4	7654	5865
Gates	NC	33	13.7	8.2	-1111.1	1100	1177
Graham	NC	28	16.9	3.4	14.5	976	986
Granville	NC	101	13.6	8	6.6	2997	2203
Greene	NC	75	17.4	11.5	11.2	2353	1670
Guilford	NC	683	14.3	8.7	10.1	17640	10440
Halifax	NC	77	22.1	9	12.3	3790	3310
Harnett	NC	174	15.2	7.9	10.7	7184	3664
Haywood	NC	102	13.3	6	22.1	2827	3269
Henderson	NC	260	11.4	5.9	11.8	5403	5521
Hertford	NC	67	19.5	17.5	7	2896	2813
Hoke	NC	105	16.4	9.2	5.8	3380	1211
Hyde	NC	9	19.1	15.9	16.5	558	677
Iredell	NC	245	10.2	8.5	10.7	5876	3387
Jackson	NC	72	15	8.3	11.7	1808	1557
Johnston	NC	185	12.6	7.7	13.3	6353	2956
Jones	NC	22	16	10.3	12.4	994	1171
Lee	NC	217	13.2	6.9	9.5	4177	2378
Lenoir	NC	145	17.1	13.4	15.3	4043	3586
Lincoln	NC	234	10.7	7.3	14.1	4405	2810
McDowell	NC	98	12.6	8.9	13.1	2135	1811
Macon	NC	62	13.1	9	15.6	1552	1904
Madison	NC	45	15.2	5.6	15.5	2180	2097
Martin	NC	53	18.5	9.9	13.6	2123	1954
Mecklenburg	NC	1513	12	7.6	10.4	36551	13844
Mitchell	NC	71	14.1	9	14.9	1607	1975
Montgomery	NC	56	15.5	6.7	13.8	3933	2509
Moore	NC	117	12.2	8.4	9.9	4523	4355
Nash	NC	169	14.2	9.6	10.2	6138	4409
New Hanover	NC	903	13.4	5.4	11.9	6151	4339
Northampton	NC	40	20.2	17.6	9.7	2544	2785
Onslow	NC	199	16.7	9.5	9.9	9418	2329
Orange	NC	296	11.6	9.6	10.1	4052	2102
Pamlico	NC	38	15.5	5.1	7.1	1101	1438
Pasquotank	NC	169	16.6	7.7	6	2324	1851
Pender	NC	53	14.1	5.5	10.9	2365	1870
Perquimans	NC	49	15.7	14.4	17.4	1154	1409
Person	NC	95	12.5	10	18	2291	1876
Pitt	NC	219	17.5	12.4	13.9	5976	3166
Polk	NC	80	10.2	11	18.8	1700	2547
Randolph	NC	176	11	9	12.1	5448	3421
Richmond	NC	99	18.6	9.3	15.7	3243	2670
Robeson	NC	134	22.4	10	9.7	6129	3619
Rockingham	NC	164	12.9	8.7	17.6	5780	5187
Rowan	NC	264	12.1	8.6	15.9	5025	3986
Rutherford	NC	113	15.2	11.4	18.3	4038	3749
Sampson	NC	67	16.9	9.4	11.5	4567	3141
Scotland	NC	117	18.8	12.5	11	2487	1764
Stanly	NC	149	12.4	9.7	11.1	3699	3013
Stokes	NC	101	11	5.9	15.2	2538	2085
Surry	NC	135	14.3	7.5	16.5	4693	3870
Swain	NC	25	15.5	6.6	13.1	1700	1536
Transylvania	NC	78	12.2	8.7	12.8	1377	1809
Tyrrell	NC	11	21.9	13.2	-1111.1	407	455
Union	NC	256	9.3	6	10.3	7030	2689
Vance	NC	173	19.3	13.6	9.1	3541	2388
Wake	NC	900	8.7	5.8	9.3	32741	10269
Warren	NC	46	19.5	12.2	10.5	2033	2248
Washington	NC	38	19.7	13.1	13.9	1725	1596
Watauga	NC	136	14.7	5.8	15.9	1725	1478
Wayne	NC	207	15	9.2	9.3	5106	3116
Wilkes	NC	89	13.6	6.9	13.2	4347	3323
Wilson	NC	206	16.7	11.4	13.1	5356	3739
Yadkin	NC	112	11.3	6.2	15.8	2402	1867
Yancey	NC	58	15.6	3.7	9.5	1815	1760
