County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Atlantic	NJ	483	10.8	9.6	8.5	10477	8217
Bergen	NJ	3854	6.1	4.4	6.2	31845	22741
Burlington	NJ	560	5.8	5.4	7.9	16166	11194
Camden	NJ	2331	10.9	9.9	9.9	20851	14310
Cape May	NJ	389	9.6	8.9	7.2	5145	6669
Cumberland	NJ	313	14.9	11.3	6.1	6364	4589
Essex	NJ	6265	14.4	8.6	5.5	36577	21091
Gloucester	NJ	853	6.7	6.5	9	9605	7044
Hudson	NJ	12926	15	7.4	4.8	26507	13726
Hunterdon	NJ	303	3.5	3.4	8.8	4382	2450
Mercer	NJ	1621	8.1	6.5	4.5	13786	8780
Middlesex	NJ	2549	7.4	4.8	6.1	31989	16653
Monmouth	NJ	1348	6.5	2.9	7.5	24309	16241
Morris	NJ	1046	4.2	3.6	5.7	19104	10489
Ocean	NJ	878	8.1	3.6	7.2	21448	21057
Passaic	NJ	2693	12.6	6	6.6	23317	12091
Salem	NJ	196	9.3	7.2	8.8	3888	3541
Somerset	NJ	1050	4.7	2.8	5.3	13356	6253
Sussex	NJ	294	4.8	4.4	7.3	5204	3038
Union	NJ	5145	9.9	6.1	5.4	22768	13636
Warren	NJ	308	6.1	5	8.3	6827	4430
