County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Adams	OH	49	14.9	5.1	20.9	1949	1508
Allen	OH	263	11.3	10.1	6.6	4549	3290
Ashland	OH	128	8.9	5.5	10.8	3434	2493
Ashtabula	OH	147	12	8.5	8.7	3753	3228
Athens	OH	122	18.3	8.1	11.1	3196	2417
Auglaize	OH	118	6.7	6.5	6.7	2919	2334
Belmont	OH	129	14.3	8.3	12.9	3494	4672
Brown	OH	90	10.5	8.4	11.8	2866	1962
Butler	OH	750	8.9	8.2	12.5	14141	8256
Carroll	OH	74	10.7	3.7	10.5	1623	1296
Champaign	OH	93	8.2	7.9	11.6	2537	1896
Clark	OH	356	11.3	8.2	14.4	5469	5016
Clermont	OH	422	6.9	3.8	13.9	8068	3937
Clinton	OH	104	9	4.4	8.7	2923	1845
Columbiana	OH	208	11.5	8.5	11.8	3884	3638
Coshocton	OH	65	10.3	4.7	15	2354	1976
Crawford	OH	114	10.5	10.9	10	2947	2574
Cuyahoga	OH	2912	13.5	9.1	10.4	52896	45286
Darke	OH	88	7.9	3.9	11.3	3353	2808
Defiance	OH	95	7.2	6	5	2663	1669
Delaware	OH	340	4.6	6.3	8.2	9320	3258
Erie	OH	309	9	7.1	8.5	4677	4112
Fairfield	OH	274	6.9	7.8	8.3	4878	3063
Fayette	OH	69	10.6	2.7	13.8	1854	1702
Franklin	OH	2020	12	8.5	9	51524	25008
Fulton	OH	106	6.6	3.6	9.4	2799	1814
Gallia	OH	67	15.5	13.1	11.4	1991	1620
Geauga	OH	236	5.7	5.2	7	5600	3327
Greene	OH	366	8.2	5.1	11.5	5248	3457
Guernsey	OH	79	14	5	15	2622	2153
Hamilton	OH	1980	11.5	10	9.7	35448	24890
Hancock	OH	138	7.5	8.2	9.4	4643	3067
Hardin	OH	68	10.5	5.6	8.7	1970	1542
Harrison	OH	39	12.1	10.8	12.9	1731	2063
Henry	OH	71	6.9	7.3	9.2	1923	1378
Highland	OH	77	11.4	8.2	10.4	3045	2237
Hocking	OH	69	12.1	6.7	13.2	1803	1443
Holmes	OH	98	10.1	7.3	5.8	4373	1375
Huron	OH	123	9	5.8	11.3	4296	2639
Jackson	OH	80	14.3	7.4	11.1	2176	1810
Jefferson	OH	172	13.6	8.1	11.7	3716	5106
Knox	OH	111	10	4.5	6.9	3572	2722
Lake	OH	1019	6.3	5.8	11.4	7773	6477
Lawrence	OH	139	16.5	8.9	10.6	3808	3694
Licking	OH	226	8.4	8	9.7	6030	3935
Logan	OH	102	9.3	9.1	8	3174	2305
Lorain	OH	602	9.8	7.5	9.4	10884	7707
Lucas	OH	1317	12.8	9.2	12	19009	13437
Madison	OH	89	8.3	9.1	11.6	2535	1792
Mahoning	OH	612	12.9	9.2	11.2	8248	9288
Marion	OH	163	11	6.7	12	4039	3269
Medina	OH	396	5.4	5.1	6.9	6137	3345
Meigs	OH	54	16.8	4.8	14.7	2736	2638
Mercer	OH	89	6.8	5.6	5.8	2833	1813
Miami	OH	250	8.1	4.6	10.2	6353	4550
Monroe	OH	32	11.7	6.3	9.8	1588	1785
Montgomery	OH	1186	11.2	8.1	11.7	22068	16729
Morgan	OH	36	14.2	8.9	11.8	1766	1659
Morrow	OH	84	9.1	7.9	-1111.1	2036	1290
Muskingum	OH	129	13.1	8.5	12.7	5439	4335
Noble	OH	35	12.2	2.5	8.6	1351	1138
Ottawa	OH	163	6.9	5.6	14	2132	2209
Paulding	OH	47	8.4	7	7.5	2547	1760
Perry	OH	86	12.2	10.6	9.5	2366	1609
Pickaway	OH	106	10.3	9.3	8.5	3004	2236
Pike	OH	64	15.7	6.1	13.1	1792	1550
Portage	OH	316	8.6	4.9	9.6	4919	3436
Preble	OH	100	7.5	2.8	6.6	2513	1887
Putnam	OH	72	6	6.3	7.1	2398	1460
Richland	OH	258	11.1	7.9	12	4780	3694
Ross	OH	109	12	5.6	12.2	4491	3668
Sandusky	OH	151	8.2	7.3	9.6	4258	3106
Scioto	OH	125	17.3	9.2	12.5	5130	4910
Seneca	OH	104	9.1	7.2	9.6	3616	2768
Shelby	OH	119	7.2	6.4	11.6	3748	2088
Stark	OH	661	9.8	7.9	9	13681	11785
Summit	OH	1324	11.1	7.4	10.1	20430	16341
Trumbull	OH	356	11	9.5	11.5	7615	7302
Tuscarawas	OH	162	9.7	6.3	11.5	6024	4644
Union	OH	105	6	5.4	7.7	3157	1383
Van Wert	OH	71	6.6	7.3	-1111.1	1772	1565
Vinton	OH	32	15	9.5	18.4	1763	1270
Warren	OH	492	5.1	4.5	7.2	7697	3463
Washington	OH	98	11.2	5.9	9.7	3545	3459
Wayne	OH	205	8.6	5.4	8.9	4823	2797
Williams	OH	92	7.7	6.8	12.5	2501	1819
Wood	OH	201	7.7	6.7	10	4038	2809
Wyandot	OH	56	6.3	8.5	12	2879	2388
