County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Adair	OK	38	19.9	9.4	13.3	3629	2233
Alfalfa	OK	7	14.1		-1111.1	474	812
Atoka	OK	15	19.4	11.7	14.2	1589	1547
Beaver	OK	3	10.7	3.8	16.1	587	594
Beckham	OK	21	16.1	8.2	18.5	2668	2595
Blaine	OK	14	16.4	9.4	13.1	1416	1660
Bryan	OK	42	17.2	6	14.3	2504	2187
Caddo	OK	24	18.8	11.8	14	2124	1876
Canadian	OK	110	9.2	7.8	13.7	5650	3246
Carter	OK	57	15.8	4.3	14.9	3293	2918
Cherokee	OK	59	19.2	5.9	11.8	3029	1951
Choctaw	OK	20	22	7.8	17.3	2105	2126
Cimarron	OK	2	14.5		-1111.1	349	415
Cleveland	OK	419	10.2	6.2	10.7	7680	3971
Coal	OK	11	18.5	5.6	-1111.1	784	800
Comanche	OK	105	16.6	7.2	13.8	5660	2607
Cotton	OK	10	14.8	11.1	18	789	857
Craig	OK	20	15.2	7.8	16.2	1839	1878
Creek	OK	72	13.8	8.1	16.9	4441	3578
Custer	OK	26	16.3	3.9	8.7	1776	1438
Delaware	OK	53	16.9	5.8	12.7	2241	2297
Dewey	OK	5	12.9	11.8	-1111.1	482	905
Ellis	OK	3	11.9		-1111.1	436	582
Garfield	OK	54	14.1	11.4	13.8	4225	3450
Garvin	OK	34	15.8	8.3	18.5	1811	1869
Grady	OK	45	12.6	6.8	15.6	2955	2373
Grant	OK	5	13		-1111.1	479	772
Greer	OK	9	20.7	3.7	-1111.1	614	965
Harmon	OK	6	22.5	14	-1111.1	399	591
Harper	OK	3	10.1		-1111.1	344	572
Haskell	OK	21	18.2	9.7	12.9	1591	1625
Hughes	OK	17	19.4	10	11.1	1655	2059
Jackson	OK	33	14.9	6.5	13.4	2322	1354
Jefferson	OK	9	18	4.7	30	720	1164
Johnston	OK	16	17.4	7	19	1261	1371
Kay	OK	51	15.9	8	14.7	3502	3058
Kingfisher	OK	16	10.5	6.7	15.6	1813	1516
Kiowa	OK	10	18.2	11.4	10.9	1260	1745
Latimer	OK	15	19	6.2	17	1242	1305
Le Flore	OK	31	18.7	8.1	9.3	3684	2827
Lincoln	OK	34	14	7.3	18.3	1928	1720
Logan	OK	50	13.1	7.2	8.1	1944	1591
Love	OK	18	13.1	5.4	14.3	1043	984
McClain	OK	53	10.9	11.6	15.9	1897	1307
McCurtain	OK	18	21.5	6.6	19.4	2564	2124
McIntosh	OK	32	18.1	13.1	21.1	2179	2734
Major	OK	8	11.2	11.6	18	756	956
Marshall	OK	39	15	13.2	17.4	1675	1689
Mayes	OK	60	15.4	6.5	17.6	2621	2117
Murray	OK	31	14.5	8.6	20.6	1528	1829
Muskogee	OK	87	17.8	6.8	14.4	4972	4095
Noble	OK	15	13.3	4.6	13.1	1435	1300
Nowata	OK	19	14.3	7.9	12.1	1259	1269
Okfuskee	OK	18	20.5	5.4	13.5	1422	1541
Oklahoma	OK	965	15.5	8.2	14.6	34245	19299
Okmulgee	OK	57	18.3	10.2	14.7	2645	2377
Osage	OK	20	13.1	6	14.4	2315	1928
Ottawa	OK	70	16.5	6	21.3	2169	2151
Pawnee	OK	30	14.1	5.9	17.4	2033	1898
Payne	OK	101	17	5.1	10.2	4154	2638
Pittsburg	OK	34	16.5	9.5	18.2	2517	2752
Pontotoc	OK	49	17	10.2	18.7	2458	2183
Pottawatomie	OK	87	15	9.3	14.7	4530	3654
Pushmataha	OK	8	20	7.5	22.2	1348	1652
Roger Mills	OK	3	12.5	14.5	-1111.1	377	416
Rogers	OK	120	9.4	5.8	9.4	4616	2914
Seminole	OK	39	20.9	13.3	17.8	1884	1710
Sequoyah	OK	61	18.2	7.5	16.5	2787	2052
Stephens	OK	49	14.3	5.8	16	2590	2906
Texas	OK	10	11.9	7.6	13.3	3255	1464
Tillman	OK	10	19.1	12.2	14.1	1191	1338
Tulsa	OK	1003	13.2	7.9	15.8	27942	15882
Wagoner	OK	114	10.2	10.7	9.8	3660	1926
Washington	OK	118	12.2	7.5	14.5	2939	2874
Washita	OK	11	15	5.9	9.9	1307	1514
Woods	OK	7	14.3	11.4	13.6	875	1329
Woodward	OK	15	12.8	6.6	12.4	2529	1860
