County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Baker	OR	5	14.3	7.2	24.6	1705	1955
Benton	OR	116	11.4	4	9.3	3952	2326
Clackamas	OR	197	8.4	3.5	14.1	12198	8025
Clatsop	OR	44	12.2	10.8	21.3	1941	1959
Columbia	OR	73	8.6	4.5	17.8	2675	1944
Coos	OR	40	15	6.1	17.2	3108	4285
Crook	OR	7	11.8	7.5	13.1	2214	1826
Curry	OR	14	12.4	4	31.2	1681	3163
Deschutes	OR	47	10.3	6.2	15.9	4544	2929
Douglas	OR	21	14	9	15.3	3233	3617
Gilliam	OR	1	8.6		-1111.1	168	201
Grant	OR	2	12.7	9.6	20.8	821	884
Harney	OR	1	13.5	5.4	22.8	831	754
Hood River	OR	41	12.6	5.7	12.4	3087	1680
Jackson	OR	70	13.3	6.6	20.9	6386	5853
Jefferson	OR	11	14.4	9.5	22.7	3026	1582
Josephine	OR	49	15.2	7.2	19.5	3876	5016
Klamath	OR	11	15.3	7.4	21.2	4062	3390
Lake	OR	1	15	13.3	19.5	757	804
Lane	OR	74	13.8	7.6	16.2	10832	8671
Lincoln	OR	47	14.1	9.8	21.2	2140	2761
Linn	OR	48	11.9	5.6	17.5	4092	3055
Malheur	OR	3	18.3	8.2	10.7	2434	1345
Marion	OR	258	14.1	5.7	13.7	13625	7564
Morrow	OR	6	13.2	7.7	12.2	1581	771
Multnomah	OR	1546	12.9	4.9	13.4	27949	17381
Polk	OR	95	10.3	4.9	12.3	3683	2681
Sherman	OR	2	12.7		-1111.1	164	192
Tillamook	OR	23	11.7	6.1	17.2	2382	2793
Umatilla	OR	23	13.8	4.1	11.6	5411	3034
Union	OR	12	13	5.2	14.1	1530	1207
Wallowa	OR	2	12.3	8.7	14.7	633	795
Wasco	OR	10	13.4	6.5	22.6	2913	2783
Washington	OR	691	8.7	4.3	11.8	22703	8204
Wheeler	OR	1	13.2		-1111.1	120	181
Yamhill	OR	129	10.9	6.2	11.5	5998	3416
