County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Abbeville	SC	51	13.6	11.4	8.1	3361	2458
Aiken	SC	140	13.5	10.3	14.7	5520	4293
Allendale	SC	27	28.4	16.7	-1111.1	1728	1207
Anderson	SC	244	11.9	8.6	15.1	6628	5351
Bamberg	SC	40	21.2	12.6	10.9	2140	1750
Barnwell	SC	43	17.2	13	14	3345	2368
Beaufort	SC	235	11.1	6.8	11.2	6027	3073
Berkeley	SC	138	11.7	8.6	13.2	6402	2901
Calhoun	SC	40	14.3	10.4	11.6	1734	1466
Charleston	SC	360	14.1	10	10.2	13767	8294
Cherokee	SC	137	14.8	12.4	13.2	3634	2785
Chester	SC	57	15.6	9.2	10.2	2288	1696
Chesterfield	SC	54	17.2	8.7	19	2869	2129
Clarendon	SC	55	21.3	11.8	10.1	2117	1655
Colleton	SC	37	18.6	9.8	8.3	2752	1974
Darlington	SC	120	18.2	12.5	7.2	4576	3677
Dillon	SC	77	20.4	9	10.8	2458	1669
Dorchester	SC	196	11.2	8.4	11.7	6178	3636
Edgefield	SC	51	15.8	11.2	11.5	2751	2013
Fairfield	SC	35	15.9	9.5	16.3	3175	2874
Florence	SC	164	16.3	11.5	7.6	5715	3875
Georgetown	SC	75	14.7	11.7	7.1	3838	2747
Greenville	SC	516	12	5.5	11.6	16464	10065
Greenwood	SC	149	13.9	11.5	6.2	4508	3391
Hampton	SC	38	19.4	8.2	7.3	2958	1984
Horry	SC	200	13.1	8.6	16.5	7804	5843
Jasper	SC	33	19.8	8.7	-1111.1	2917	1637
Kershaw	SC	78	12	6.5	12.8	3524	2535
Lancaster	SC	115	13.7	10.4	12.5	4024	2994
Laurens	SC	98	14.8	9.7	10.4	4109	3645
Lee	SC	50	20.5	17	8.5	2549	1987
Lexington	SC	336	10.5	7.1	12.8	9135	5300
McCormick	SC	28	16.1	15.6	10.8	876	1126
Marion	SC	71	20.5	15.8	7.7	2474	1930
Marlboro	SC	58	20.2	10.6	8.4	1982	1742
Newberry	SC	59	14.6	11.1	9.7	2428	1997
Oconee	SC	111	11.7	6.4	15.3	3925	3238
Orangeburg	SC	83	19.8	11.4	7.6	6416	4767
Pickens	SC	229	11.5	7.5	14.4	3872	2716
Richland	SC	450	13.9	7.7	8.2	13059	7701
Saluda	SC	42	15.1	11.9	10.1	2415	2020
Spartanburg	SC	329	12.9	7.8	11.5	10293	7721
Sumter	SC	159	16.3	9.7	8.7	4834	2777
Union	SC	56	14.3	9.3	15.6	1837	1794
Williamsburg	SC	38	22.9	17.2	-1111.1	2560	1969
York	SC	279	11.3	7.9	10.6	7177	4125
