County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Aurora	SD	4	11.7		-1111.1	309	437
Beadle	SD	13	11.9	4.6	13.8	1994	1975
Bennett	SD	3	27.4	3.3	-1111.1	680	321
Bon Homme	SD	13	13	3.4	-1111.1	692	863
Brookings	SD	35	12.5	2.5	10.6	1604	924
Brown	SD	20	10.1	7.4	8.3	2290	1801
Brule	SD	6	11.5	1.7	18.7	666	523
Buffalo	SD	4	30	19.6	62.1	437	216
Butte	SD	4	13.8	7.3	22.9	1226	922
Campbell	SD	2	10.8		-1111.1	165	156
Charles Mix	SD	8	21.3	12.3	29	1647	1088
Clark	SD	4	12.6		-1111.1	458	512
Clay	SD	32	17.7	4.9	7.1	1569	975
Codington	SD	38	10.4	3.4	11.5	1759	1137
Corson	SD	2	27.5	8.4	26.3	805	394
Custer	SD	5	9.9	7.1	-1111.1	645	704
Davison	SD	43	10.8	7.2	11.6	2479	1926
Day	SD	6	13.1	13.2	-1111.1	673	1021
Deuel	SD	7	9.5	13.6	-1111.1	505	509
Dewey	SD	3	25.1	11.4	26.4	1345	465
Douglas	SD	8	11.5		-1111.1	382	440
Edmunds	SD	4	10.5		-1111.1	461	558
Fall River	SD	4	14.1	3.2	26.2	691	1115
Faulk	SD	2	10.5		-1111.1	286	295
Grant	SD	11	9.7	8.8	-1111.1	871	966
Gregory	SD	4	16.5	17.8	-1111.1	437	716
Haakon	SD	1	11.7		-1111.1	256	256
Hamlin	SD	11	10.6	4	22.3	827	702
Hand	SD	2	9.4		-1111.1	365	455
Hanson	SD	9	9.5		-1111.1	513	209
Harding	SD	0	12.7		-1111.1	153	108
Hughes	SD	23	9.9	6.3	22.2	2127	1372
Hutchinson	SD	9	11.6	3.7	-1111.1	904	1289
Hyde	SD	2	10.6		-1111.1	177	245
Jackson	SD	2	25.9	18.4	-1111.1	541	257
Jerauld	SD	4	12.8		-1111.1	215	323
Jones	SD	1	12.3		-1111.1	121	105
Kingsbury	SD	7	9.4	0	-1111.1	607	945
Lake	SD	20	10.5	4.8	9.5	1158	1102
Lawrence	SD	28	11.9	7.2	18.5	2326	1906
Lincoln	SD	58	4.4	5	7.6	3428	1539
Lyman	SD	2	18.6	12.8	-1111.1	698	353
McCook	SD	10	9.7	8.8	-1111.1	758	798
McPherson	SD	2	13.9		-1111.1	274	415
Marshall	SD	5	11.2		-1111.1	423	543
Meade	SD	7	10.1	7.6	18.4	3995	1665
Mellette	SD	2	25.6		-1111.1	361	228
Miner	SD	5	10.7		-1111.1	284	439
Minnehaha	SD	198	9.7	5.4	16	7265	3337
Moody	SD	13	9.3	8.8	-1111.1	757	655
Pennington	SD	34	13.1	8.4	12	7006	3450
Perkins	SD	1	13.8		-1111.1	355	451
Potter	SD	3	10.4		-1111.1	259	445
Roberts	SD	9	18	8.2	15.9	1491	1275
Sanborn	SD	4	12.1		-1111.1	290	290
Shannon	SD	7	35.6	15.7	26.5	3374	1149
Spink	SD	5	11.9	2.6	-1111.1	869	883
Stanley	SD	2	8.5		-1111.1	331	194
Sully	SD	1	8.1		-1111.1	160	102
Todd	SD	7	33.7	14.9	32.3	2538	724
Tripp	SD	4	16.8	15.4	-1111.1	819	745
Turner	SD	14	8.3	6.3	-1111.1	891	1174
Union	SD	29	6.3	6.1	-1111.1	1631	1056
Walworth	SD	8	15.7	5.9	-1111.1	751	931
Yankton	SD	42	11.6	7.1	11.8	2690	1890
Ziebach	SD	1	33	16.6	-1111.1	409	145
