County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Anderson	TN	215	13.1	6.5	14	3982	4034
Bedford	TN	89	12.8	7.1	18.8	2949	1911
Benton	TN	42	15.7	8.5	17.6	1703	2089
Bledsoe	TN	32	16.7	5.3	-1111.1	1269	1125
Blount	TN	207	10.3	9.3	16.8	3874	3511
Bradley	TN	280	12.5	7.6	11.6	5916	4007
Campbell	TN	85	19.4	6.9	12	2470	2340
Cannon	TN	50	12.6	8.3	17.7	1469	1343
Carroll	TN	49	15	12.6	16.6	1832	2164
Carter	TN	173	16.6	9.1	12.1	2956	3189
Cheatham	TN	128	8.8	4.1	13.5	2448	1343
Chester	TN	55	13.8	11.1	9.2	1784	1477
Claiborne	TN	71	18.3	4.5	17.5	1780	1739
Clay	TN	34	16.8	9.7	12.1	793	980
Cocke	TN	80	19.4	4.3	15.5	2085	2038
Coffee	TN	119	13.2	9.2	17.7	3266	2668
Crockett	TN	55	14.9	8.5	12.7	1814	1887
Cumberland	TN	75	14.1	4.4	17.5	2518	2658
Davidson	TN	1145	13.5	8.7	13.7	26453	15495
Decatur	TN	35	15.1	5.1	12.7	1321	1619
DeKalb	TN	60	14.7	7.4	36.3	2054	1947
Dickson	TN	94	11.6	5.4	13.3	3146	2075
Dyer	TN	74	15.3	12	15	2491	2191
Fayette	TN	49	11.1	10.4	11.4	2024	1413
Fentress	TN	34	20.2	9.7	9.3	2066	1969
Franklin	TN	74	12.5	3.4	17.3	2323	2080
Gibson	TN	80	13.7	13.2	19.4	3104	3556
Giles	TN	48	12.9	9.7	15.4	1759	1713
Grainger	TN	79	15.8	5.7	16.3	2505	2089
Greene	TN	105	14.1	9	12.9	3675	3643
Grundy	TN	41	20.2	3.4	19.9	1984	1655
Hamblen	TN	372	13.9	5.3	12	4121	3075
Hamilton	TN	573	13.3	10.1	11	11872	9553
Hancock	TN	30	23.9	7.8	-1111.1	725	848
Hardeman	TN	42	18.4	15.5	11.7	3379	2829
Hardin	TN	45	17.3	10.5	16.4	2843	3088
Hawkins	TN	115	14.1	7.4	14.6	3233	2696
Haywood	TN	37	17.1	12.6	10.8	2937	2248
Henderson	TN	51	12.9	9.7	17.6	3393	2971
Henry	TN	56	14.6	11	18.5	1821	2180
Hickman	TN	39	14.7	6.9	23.5	2691	2157
Houston	TN	40	14.4	6.5	-1111.1	1026	977
Humphreys	TN	34	12	9.5	19.4	2069	1973
Jackson	TN	36	16.8	8.2	25.2	1096	1395
Jefferson	TN	177	13.4	5.3	8.5	2656	2170
Johnson	TN	61	19.3	11.1	18.7	1596	1959
Knox	TN	796	12.7	6.1	12.2	14567	10953
Lake	TN	46	26.3	7	-1111.1	810	1022
Lauderdale	TN	57	17.8	11.3	11.1	3926	2971
Lawrence	TN	67	14.4	5.9	13.9	2886	2103
Lewis	TN	41	14.9	5.6	15.9	1366	1218
Lincoln	TN	57	13.2	7.8	14.2	1923	1880
Loudon	TN	190	10.4	8.6	11.7	2429	2219
McMinn	TN	119	13.8	4.6	8	3049	2677
McNairy	TN	45	15.6	9	16.5	3207	3119
Macon	TN	70	14.9	8.7	15.3	2538	2024
Madison	TN	170	14	11.4	10.3	6693	4390
Marion	TN	56	13.7	7.5	-1111.1	1734	1550
Marshall	TN	76	11.1	8.8	18.1	1815	1340
Maury	TN	124	11.6	7.2	14.8	5016	3471
Meigs	TN	60	15.9	7.9	11.4	1368	980
Monroe	TN	68	14.9	8.6	12.2	2665	1984
Montgomery	TN	273	12.3	8.7	13.1	7010	2581
Moore	TN	47	9.7		-1111.1	526	514
Morgan	TN	39	16.5	10.9	10.4	2225	1806
Obion	TN	59	12.8	8.6	10.7	2099	1921
Overton	TN	47	15.7	4.3	15.2	2279	2434
Perry	TN	18	14.2	7.1	20	934	946
Pickett	TN	30	15.7		25.6	527	633
Polk	TN	37	14	11.5	16.5	1934	1884
Putnam	TN	166	14.2	7.4	13.6	4207	3162
Rhea	TN	95	14.3	7.6	12.9	1981	1471
Roane	TN	147	13.2	6	17.3	2857	3020
Robertson	TN	127	9.7	4	13.5	4269	2460
Rutherford	TN	353	9.2	6.4	11.8	9107	3549
Scott	TN	41	19.5	5.8	14	2981	2051
Sequatchie	TN	48	14.4	6.2	10.9	1411	1032
Sevier	TN	134	12.4	7.1	11.4	4623	3335
Shelby	TN	1205	16.6	14	9.9	42781	23554
Smith	TN	59	11.9	2.6	7	2132	1908
Stewart	TN	28	12.7	10.2	17.7	1408	1397
Sullivan	TN	370	12.8	7.1	12.7	4899	5457
Sumner	TN	274	9.5	6.6	11.3	5488	3295
Tipton	TN	122	11.5	12.5	9	3530	2236
Trousdale	TN	67	12.9	3.7	24.4	912	850
Unicoi	TN	94	12.8	9.4	12	1875	2203
Union	TN	85	16.8	4.5	13.9	2156	1511
Van Buren	TN	20	15.2	9.6	-1111.1	578	514
Warren	TN	92	15.3	5	13.7	2779	1978
Washington	TN	345	13.6	10.8	13.4	3896	3503
Wayne	TN	23	17.3	8	16.9	1684	1700
Weakley	TN	58	14.7	8.4	12.2	1914	1847
White	TN	64	14.8	7.1	16.1	2819	2774
Williamson	TN	264	5.1	4.2	6.6	5266	2121
Wilson	TN	176	7.9	5.3	14.6	6257	3592
