County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Anderson	TX	53	20.1	6.4	17.4	3298	3018
Andrews	TX	8	15	10.7	13.6	2094	1093
Angelina	TX	102	17.3	6.4	13	6401	3955
Aransas	TX	98	18.5	7	18.8	2362	2560
Archer	TX	10	9.1	8.9	-1111.1	1005	677
Armstrong	TX	2	9.7		-1111.1	227	266
Atascosa	TX	35	19	8.8	17.1	3164	1571
Austin	TX	40	11.3	5.7	11.3	3236	2522
Bailey	TX	8	17.9	7.3	-1111.1	1207	615
Bandera	TX	25	12.4	7.6	22.2	1726	1407
Bastrop	TX	79	12.6	5.6	16.4	4464	2265
Baylor	TX	4	16.7		-1111.1	409	700
Bee	TX	37	24.6	6.7	14.1	1938	1123
Bell	TX	242	14.8	7.5	11.5	16694	4819
Bexar	TX	1218	17.6	7	10.3	73703	30791
Blanco	TX	13	10.5	5.7	23.1	949	917
Borden	TX	1	6.9		-1111.1	37	40
Bosque	TX	18	14.3	8.2	14.8	2013	2641
Bowie	TX	102	17.5	8.2	12.4	5751	4922
Brazoria	TX	201	11.5	5	13.4	12713	5183
Brazos	TX	267	18.9	4.4	8.8	6781	2343
Brewster	TX	1	17.5	11.4	24.9	1156	779
Briscoe	TX	2	15.7		-1111.1	242	225
Brooks	TX	8	29.5	3.1	15	1417	773
Brown	TX	41	18.1	11.2	8.3	2502	2386
Burleson	TX	26	15.5	6.5	13.5	2185	1613
Burnet	TX	42	11.9	6.8	13.2	2364	1920
Caldwell	TX	67	14.7	7.4	14	2580	1405
Calhoun	TX	40	16.3	3.6	9.9	3372	1671
Callahan	TX	15	14.3	6.6	18.2	1347	1409
Cameron	TX	418	29.5	5	6.5	25617	6178
Camp	TX	62	18.2	3.6	15.6	1837	1479
Carson	TX	7	9	14.7	-1111.1	763	646
Cass	TX	32	17.4	11	13.6	1728	1954
Castro	TX	9	19.7	3.3	-1111.1	1360	652
Chambers	TX	47	10.6	6.5	10.4	3061	1763
Cherokee	TX	46	18.2	7.4	18.8	3640	2674
Childress	TX	11	21.2	7.5	20.2	891	944
Clay	TX	10	11.1	9.2	-1111.1	961	1074
Cochran	TX	4	22.7		-1111.1	551	381
Coke	TX	4	14.8		-1111.1	325	607
Coleman	TX	7	20.6	12	15.5	1106	1595
Collin	TX	778	5.4	4	7.5	29125	6159
Collingsworth	TX	3	18.5		-1111.1	392	497
Colorado	TX	22	15.6	8.6	11.7	2564	2615
Comal	TX	171	9.9	5.9	9.3	5578	3462
Comanche	TX	15	18	4.8	14.7	1606	2009
Concho	TX	4	18.6		-1111.1	251	361
Cooke	TX	44	13.6	8.4	11.3	2506	1930
Coryell	TX	72	15.7	7.8	11.1	4850	1672
Cottle	TX	2	19.5		-1111.1	202	286
Crane	TX	5	11.8	7.6	-1111.1	587	372
Crockett	TX	1	15.1		-1111.1	543	397
Crosby	TX	7	22.8	5	-1111.1	1116	813
Culberson	TX	1	23.1		-1111.1	448	208
Dallam	TX	4	14.4	13.6	-1111.1	1068	553
Dallas	TX	2621	16.9	6.8	10.6	128098	42119
