County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Adams	WA	9	15.8	7.9	7.6	3202	1095
Asotin	WA	33	14.5	7.7	18	2593	2132
Benton	WA	93	10.1	5.8	12.8	6573	3058
Chelan	WA	24	12.6	5.1	9.9	4735	2858
Clallam	WA	40	11.9	4.6	18	3045	3968
Clark	WA	643	10.5	5.4	13.8	15927	7314
Columbia	WA	5	11.9		-1111.1	406	519
Cowlitz	WA	85	13.7	7.3	14.8	6183	4646
Douglas	WA	19	11.9	2.3	12.9	2202	1229
Ferry	WA	3	16.6	8.9	19.8	758	615
Franklin	WA	51	15.3	5.6	8.7	5848	1470
Garfield	WA	3	11.3		-1111.1	194	304
Grant	WA	30	15.8	4.7	9.7	6951	2731
Grays Harbor	WA	37	15	5.5	18.1	4015	3947
Island	WA	380	8.3	4.7	10	4636	2797
Jefferson	WA	16	11	4.8	9.7	1046	1392
King	WA	844	9.4	4.9	10.6	66179	34777
Kitsap	WA	608	9.2	6.4	11.5	8916	5391
Kittitas	WA	16	13.4	7.1	10	1826	1245
Klickitat	WA	11	14.5	4.3	19.4	2328	1617
Lewis	WA	30	13.5	6.8	19.1	4431	3801
Lincoln	WA	4	11.5	5.4	13.4	1028	1110
Mason	WA	57	11.9	5.9	14.2	2713	2546
Okanogan	WA	8	18.7	4.3	15.8	2552	1853
Pacific	WA	23	13.7	6.7	20	2010	2820
Pend Oreille	WA	9	15	10.7	18	1253	1110
Pierce	WA	449	10.7	7.1	13.4	30093	16354
San Juan	WA	87	8.5	2.3	11.1	993	1072
Skagit	WA	65	11.5	5.5	16.6	6912	4874
Skamania	WA	6	10.9	5.7	17.3	965	669
Snohomish	WA	314	9.4	5.3	12.3	25627	12237
Spokane	WA	250	12.8	6.4	14.5	16475	11061
Stevens	WA	17	14.6	4	15	2228	1834
Thurston	WA	315	9	6	13.2	7650	4959
Wahkiakum	WA	15	8.9		23.6	325	479
Walla Walla	WA	45	14	4.9	16	3465	2663
Whatcom	WA	87	13	3.9	15.5	5935	3844
Whitman	WA	19	15.8	5.9	11.5	2036	1126
Yakima	WA	54	17.9	6.7	12.6	12363	5306
