County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Adams	WI	32	11	9.3	18.2	1674	2104
Ashland	WI	16	12	5.8	8.4	2110	1977
Barron	WI	53	9.2	4	12.8	2503	2383
Bayfield	WI	10	9.6	7.9	14.2	1412	1571
Brown	WI	452	8.1	6	11.5	9881	4745
Buffalo	WI	20	7.9	3.6	11.4	1539	1380
Burnett	WI	20	9.3	7.4	19	1482	1895
Calumet	WI	138	4.8	3.5	7.8	2822	1242
Chippewa	WI	59	9	5.9	13.7	3413	2642
Clark	WI	28	10.1	5.8	10	2567	1610
Columbia	WI	72	6.2	7.6	14.9	3158	2613
Crawford	WI	30	10.1	6.2	11.7	1973	1802
Dane	WI	381	7.9	5	11.2	16832	8008
Dodge	WI	100	6.7	4.4	9.2	4821	4356
Door	WI	59	7.1	6.4	17.5	1253	1564
Douglas	WI	34	11.3	6.1	12	2474	2281
Dunn	WI	49	9.4	4.3	9.7	2324	1399
Eau Claire	WI	148	9.6	3.8	12.5	5563	3466
Florence	WI	10	8.4		-1111.1	426	540
Fond du Lac	WI	137	6.9	6.2	13	5786	4491
Forest	WI	10	10	7.1	16	1115	1123
Grant	WI	43	9.5	5.2	8.1	2697	2495
Green	WI	60	6.7	4.6	9.3	1970	1635
Green Lake	WI	54	7.8	4.1	12.2	2168	2380
Iowa	WI	31	7.1	4.3	15.8	2834	1932
Iron	WI	9	9.6	12.3	-1111.1	475	922
Jackson	WI	20	9.5	9	7.3	2088	1934
Jefferson	WI	142	5.7	3.6	14.6	4726	2984
Juneau	WI	35	9.6	5.2	12.4	2810	2736
Kenosha	WI	588	8.8	5.6	13.6	6381	3763
Kewaunee	WI	61	5.6	3.9	12.3	2292	1861
La Crosse	WI	241	9.7	4.8	11.7	3760	2717
Lafayette	WI	26	8.6	8.7	11.8	1787	1540
Langlade	WI	24	10.2	6.1	10.7	2199	2289
Lincoln	WI	34	7.2	8.9	20.2	1571	1612
Manitowoc	WI	139	7	7.9	11	4435	4107
Marathon	WI	83	7.2	7.2	10.1	4587	2914
Marinette	WI	31	8.9	5.7	14.3	2092	2572
Marquette	WI	33	8.4	9.5	16.7	1522	1651
Menominee	WI	13	19.3	8.5	-1111.1	901	376
Milwaukee	WI	3815	16.2	10.4	11.4	43885	26557
Monroe	WI	47	10.2	9	14.8	2885	2031
Oconto	WI	38	7	5.2	8.2	1930	1702
Oneida	WI	33	8.1	4.5	11.3	1539	1976
Outagamie	WI	267	5.6	6.7	9.7	6839	3357
Ozaukee	WI	371	3.6	4.1	12.2	4409	2965
Pepin	WI	32	8.1	8	-1111.1	824	825
Pierce	WI	68	6.4	5.3	9.2	2072	1188
Polk	WI	48	7.2	6.3	10	2372	2002
Portage	WI	84	8.4	3.1	9.9	3815	2217
Price	WI	12	9	5.3	14.7	1467	1996
Racine	WI	588	9.3	10.9	11.6	7676	4595
Richland	WI	31	9.6	6.7	11.7	1992	1837
Rock	WI	219	8.3	6.3	10.1	6059	3954
Rusk	WI	17	11	8.6	14.7	1708	1792
St. Croix	WI	107	4.2	6.6	7.7	4692	2271
Sauk	WI	69	7.6	7	16.1	3581	2537
Sawyer	WI	14	11.2	4.5	15.8	1768	1944
Shawano	WI	46	8.2	6.8	14.2	2355	2262
Sheboygan	WI	223	6.6	5.9	13.8	4097	3097
Taylor	WI	20	8.8	6.8	15.7	2297	1879
Trempealeau	WI	38	7.9	3.2	12.2	1562	1512
Vernon	WI	37	10.9	3.1	16.6	1929	1557
Vilas	WI	26	8	8.1	14.1	1764	2615
Walworth	WI	180	8	5.3	11	5666	4077
Washburn	WI	21	9.7	7	11.4	1575	1846
Washington	WI	293	4.6	3.8	9.8	4493	2572
Waukesha	WI	682	4.1	3	8	13001	8256
Waupaca	WI	70	7.4	8.4	10.5	2961	3352
Waushara	WI	40	9.6	7.6	9.8	2324	2487
Winnebago	WI	364	7.5	6.1	12.5	5441	3870
Wood	WI	95	7.8	3.7	11	4352	3424
